ISBN,Імʼя автора,Жанр книги,Мова,Мова оригіналу,Назва видавця,Назва книги,Оригінальна назва,Перекладач,Рік видання
978-617-8277-73-4,Ч. Гоуґ,"Історія, факти та біографії",українська,,Наш формат,Одного разу воїн — воїн назавжди. Як повернутися до звичного життя після бойових дій,,,2024.0
978-617-690-898-2,Д. Корній,"Історія, факти та біографії",українська,,Віват,Чарівні істоти українського міфу. Духи природи,,,2017.0
978-966-942-839-4,за ред. С. Фартінга,Дозвілля та Хобі,українська,,Віват,Історія мистецтва. Від найдавніших часів до сьогодення,,,2019.0
978-617-7561-22-3,Садхґуру,"Езотерика, таро",українська,,Bookchef,Внутрішня інженерія,,,2023.0
978-617-548-080-9,Р. Шеперд,Психологія,українська,,Bookchef,Сім етапів смерті. Відверта сповідь судмедексперта,,,2023.0
978-617-15-0723-4,Тавваб Н.Ґ.,Психологія,українська,англійська,КСД,Без драми. Посібник з налагодження стосунків у сім’ї,Drama free: A Guide to Managing Unhealthy Family Relationships,Савінова Олена,2024.0
978-617-8277-79-6,Д. Мюррей,"Історія, факти та біографії",українська,,Наш формат,"Самознищення Європи: імміграція, ідентичність, іслам",,,2024.0
978-617-12-8582-8,С. Плохій,"Історія, факти та біографії",українська,англійська,КСД,Брама Європи. Історія України від скіфських воєн до незалежності,The Gates of Europe: A History of Ukraine,,2021.0
978-617-12-8601-6,К. Равікант,Психологія,українська,англійська,КСД,Полюби себе. Як підвищити самооцінку та прийняти себе,Love Yourself Like Your Life Depends on It,С. В. Мальована,2021.0
978-617-548-039-7,,"Історія, факти та біографії",,,Bookchef,Дивовижний світ Хаяо Міядзакі,,,
978-617-95267-8-7,Кевін Пітер Генд,Наукпоп,українська,,Бородатий Тамарин,Океани поза межами землі,,,2024.0
978-617-679-256-7,Кріс Кайл,"Історія, факти та біографії",українська,,Видавництво Старого Лева,Американський снайпер,,,2023.0
978-617-15-0177-5,Василь Карп’юк,"Історія, факти та біографії",українська,,КСД,Довбуш. Гідність або забуття,,,2023.0
978-966-942-927-8,В. Кіпіані,"Історія, факти та біографії",українська,,Віват,Справа Василя Стуса,,,2019.0
978-966-948-375-1,Дж. Клір,Психологія,українська,,Видавнича група КМ-БУКС,Атомні звички. Легкий і перевірений спосіб набути корисних звичок і позбутися звичок шкідливих,,,2020.0
9786175773338,,Наукпоп,українська,,Моноліт,ПДР 2024 в ілюстраціях,,,2024.0
978-966-448-052-6,Л. Загоровська,"Історія, факти та біографії",українська,,Видавництво Старого Лева,Моя УПА,,,2022.0
978-617-15-0610-7,У. Ергардт,Психологія,українська,німецька,КСД,"Чемні дівчатка потрапляють у Рай, погані - куди забажають","Gute Madchen kommen in den Himmel, bose uberall hin. Warum Bravsein uns nicht weiterbringt",С. В. Зубченко,2024.0
978-617-15-0274-1,С. Плохій,"Історія, факти та біографії",українська,англійська,КСД,Російсько-українська війна: повернення історії,The Russo-Ukrainian War,Ларченко Максим,2023.0
978-966-948-674-5,Д. Карнегі,Психологія,українська,,Видавнича група КМ-БУКС,Як насолоджуватися життям і отримувати задоволення від роботи,,,2022.0
978-617-548-192-9,Е. Вільям,Наукпоп,українська,,Bookchef,Секрети щитоподібної залози. Що приховують її хвороби та як від них зцілитися,,,2024.0
978-617-577-367-3,,Наукпоп,українська,,Моноліт,ПДР 2024 з коментарями та ілюстраціями,,,2024.0
978-617-7973-00-2,Н. Н. Талеб,Психологія,українська,,Наш формат,Антикрихкість. Про (не)вразливе у реальному житті,,,2021.0
978-966-942-855-4,Б. Джонсон,"Історія, факти та біографії",українська,,Віват,Омріяний Рим,,,2019.0
978-617-12-4954-7,Д. Габбард,Наукпоп,українська,англійська,КСД,Перша невідкладна допомога своїми руками. Що робити якщо швидка не поспішає,The Survival Doctor’s Complete Handbook: What to Do When Help is NOT on the Way,Я. А. Лебеденко,2019.0
978-617-8277-28-4,Е. Карнеґі,"Історія, факти та біографії",українська,,Наш формат,Автобіографія. Євангеліє багатства,,,2023.0
978-966-982-708-1,Е. Андрющенко,"Історія, факти та біографії",українська,,Віват,Архіви КГБ. Невигадані історії,,,2022.0
978-617-8120-51-1,Бред Стоун,Бізнес-література,українська,,Наш формат,Продається все. Джефф Безос та ера Amazon,,,2023.0
978-617-12-8624-5,"Дж. Фрайд, Д. Х. Хенссон","Саморозвиток, мотивація",українська,,КСД,Rework. Ця книжка змінить ваш погляд на бізнес,,,
978-617-12-7457-0,Е. Фромм,Психологія,українська,англійська,КСД,Мати або бути?,To Have or to Be?,Г. В. Яновська,2020.0
978-617-12-9898-9,Стівен Гокінґ,Наукпоп,українська,,КСД,Теорія всього,,,2023.0
978-966-948-226-6,С. Харві,"Саморозвиток, мотивація",українська,,Видавнича група КМ-БУКС,"Діяти як жінка, думати як чоловік",,,2017.0
978-617-8120-92-4,Метью Перрі,"Історія, факти та біографії",українська,,Наш формат,"Друзі, коханки і велика халепа","Friends, Lovers, and the Big Terrible Thing: A Memoir by Matthew Perry",,2023.0
978-966-9742-55-1,Г. Форд,"Історія, факти та біографії",українська,,Наш формат,Моє життя та робота,,,2022.0
978-617-12-8890-4,"Дж. Фрайд, Д. Х. Хенссон",Психологія,українська,англійська,КСД,Remote. Офіс не потрібен,Remote: Office Not Required,Л. І. Котляр,2021.0
978-617-7552-53-5,Джош Кауфман,Психологія,українська,,Наш формат,MBA в домашніх умовах. Шпаргалки бізнес-практика,,,2023.0
978-966-982-390-8,Д. Стрелекі,Психологія,українська,,Віват,Третій візит до кафе на краю світу,,,2021.0
978-617-8277-52-9,"М. Бар-Зохар, Н. Мішаль","Історія, факти та біографії",українська,,Наш формат,Амазонки Моссаду. Жінки в ізраїльській розвідці,,,2024.0
978-617-8277-63-5,Б. Стоун,Бізнес-література,українська,,Наш формат,Amazon без меж. Як Джефф Безос розбудував глобальну імперію,,,2024.0
978-617-12-9276-5,Бурбо Л.,Психологія,українська,французька,КСД,Люби своє тіло. Лікуємо психосоматичні недуги та хвороби,"Ton corps dit : ""Aime-toi !"": Le dictionnaire des malaises et maladies et leurs messages",Андрій Рєпа,2023.0
978-617-7279-84-5,С. Кейн,Психологія,українська,,Наш формат,"Сила інтровертів. Тихі люди у світі, що не може мовчати",,,2017.0
978-617-548-170-7,"А. Левін, Р. Геллер",Психологія,українська,,Bookchef,Теорія прихильності. Як знайти і зберегти своє кохання,,,2023.0
978-617-7388-98-1,Д. Клейсон,Бізнес-література,українська,,Наш формат,Найбагатший чоловік у Вавилоні,,,2017.0
978-617-15-0183-6,В. Франкл,Психологія,українська,англійська,КСД,Лікар та душа. Основи логотерапії,The Doctor and the Soul,,2023.0
978-617-15-0263-5,Л. Бебешко,Дозвілля та Хобі,українська,,КСД,"Українська вишиванка. Мальовничі узори, мотиви, схеми крою",,,2023.0
978-617-8257-59-0,Р. Клочко,"Історія, факти та біографії",українська,,Віхола,Невидима битва. Як дисиденти боролися за незалежність України,,,2024.0
978-617-12-9609-1,К. Воллес,"Історія, факти та біографії",українська,англійська,КСД,"Зворотний відлік 1945 року: атомна бомба та 116 днів, що змінили світ",Countdown 1945: The Extraordinary Story of the Atomic Bomb and the 116 Days That Changed the World,О. Б. Король,2022.0
978-617-12-8880-5,П. Клейнман,Психологія,українська,англійська,КСД,"Психологія  101: Факти, теорія, статистика, тести й таке інше","Psych 101: Psychology Facts, Basics, Statistics, Tests, and More!",,2021.0
978-617-12-9090-7,І. Ялом,Психологія,українська,англійська,КСД,Ліки від кохання та інші оповіді психотерапевта,Love`s Executioner: & Other Tales of Psychotherapy,,2021.0
978-617-585-249-1,Радомир Мокрик,"Історія, факти та біографії",українська,,А-БА-БА-ГА-ЛА-МА-ГА,Бунт проти імперії: українські шістдесятники,,,2023.0
978-617-7782-33-8,"М. Батильда, CDPR",Дозвілля та Хобі,українська,,Vovkulaka,Світ Відьмака,,,2023.0
978-617-12-9973-3,Тавваб Н.Ґ.,Психологія,українська,,КСД,Особисті кордони. Керівництво зі спокійного життя без травм і комплексів,,Олеся Малая,2023.0
978-617-12-9298-7,Е. Кірк,Наукпоп,українська,англійська,КСД,Код людства. Дивовижна історія наших генів,The Genes That Make Us: Human Stories From a Revolution in Medicine,М. Г. Марченко,
978-617-7973-83-5,Вільям Байнум,Наукпоп,українська,,Наш формат,Коротка історія науки,,,2023.0
978-617-12-8878-2,М. Грушевский,"Історія, факти та біографії",українська,,КСД,Нарис історії українського народу,,,2021.0
978-617-8277-58-1,П. Синєгуб,Бізнес-література,українська,,Наш формат,PRO 37 правил і принципів бізнесу,,,2024.0
978-617-12-9892-7,Саган К.,Наукпоп,українська,,КСД,"Світ, повний демонів. Наука як свічка у пітьмі",,,2023.0
978-617-00-2545-6,М. Малихіна,Психологія,українська,,ВГ «Основа»,Дитина народилася!,,,2024.0
978-617-15-0652-7,Сью Джонсон,Психологія,,англійська,КСД,Пригорни мене міцніше! 7 бесід про кохання тривалістю в життя,Hold Me Tight: Seven Conversations for a Lifetime of Love,,2024.0
978-617-12-9785-2,Тесса Вест,Психологія,українська,,КСД,Придурки на роботі. Токсичні колеги і що з ними робити,,,2022.0
978-617-8115-66-1,Ієн Ґіттінс,"Історія, факти та біографії",українська,,Наш формат,Depeche Mode: Faith & Devotion,,,2023.0
978-617-12-5945-4,Лідія Бебешко,Дозвілля та Хобі,українська,,КСД,"Українські вишиванки: орнаменти, композиції",,,2019.0
978-966-9766-72-4,Дід Свирид,"Історія, факти та біографії",українська,,Силаева О.В.,Історія України від Діда Свирида. Книга 1,,,2023.0
978-617-8286-75-0,Сью Блек,Наукпоп,українська,,Книголав,"Закарбовано на кістках. Таємниці, які ми лишаємо після себе",,,2024.0
978-617-8120-29-0,Себастіан Юнґер,"Історія, факти та біографії",українська,,Наш формат,Плем’я. Про повернення з війни і належність до спільноти,,,2023.0
978-617-12-9789-0,Керол Гувен,Наукпоп,українська,,КСД,Тестостерон. Захоплива історія поділу на статі,,,2022.0
978-617-12-9885-9,К. Фіцджеральд,Наукпоп,українська,,КСД,Зміни свій біологічний вік. Мінус 3 роки за 8 тижнів,,,2023.0
978-966-982-012-9,Д. Корній,"Історія, факти та біографії",українська,,Віват,Чарівні істоти українського міфу. Домашні духи,,,2019.0
978-611-540-764-4,Є. Гороть,Наукпоп,українська (англійська),,Ранок,Великий українсько-англійський словник (200 000 слів і словосполучень),,,
978-617-15-0384-7,Дж Сміт,Психологія,українська,англійська,КСД,Чому мені раніше цього не казали? Стратегія спокійного життя в буремні часи,Why Has Nobody Told Me This Before?,,2023.0
9786175772911,,Наукпоп,українська,,Моноліт,Екстрена допомога в разі ДТП,,,2023.0
978-617-8277-56-7,"Дж. Безос, В. Айзексон",Бізнес-література,українська,,Наш формат,Винайди і віднайди. Вибрані тексти засновника Amazon,,,2024.0
978-966-982-837-8,Л. Паверс,Психологія,українська,,Віват,Як не зіпсувати життя своїм дітям. Посібник з виховання без стресу та нарікань,,,2024.0
978-617-7682-22-5,К. Восс,Бізнес-література,українська,,Наш формат,Ніколи не йдіть на компроміс. Техніка ефективних переговорів,,,2019.0
978-617-8299-20-0,Том Фелтон,"Історія, факти та біографії",українська,англійська,Лабораторія,По той бік чарівної палички. Магія і хаос мого дорослішання,Beyond the Wand. The Magic and Mayhem of Growing Up a Wizard,,2023.0
978-617-522-176-1,Е. Мортон,"Історія, факти та біографії",українська,,Фабула,Діана. Справжня історія з її вуст,,,2024.0
978-617-8012-92-2,Клопотенко Є.,Дозвілля та Хобі,українська,,Книголав,Дитячі страви. 70 простих рецептів,,,2023.0
978-617-15-0015-0,Д. Спрінг,Психологія,українська,англійська,КСД,Я пробачаю тобі. Свобода дарувати прощення,"How Can I Forgive You?: The Courage to Forgive, The Freedom Not To",Соломарська Олена,2023.0
978-617-15-0106-5,Джон Кехо,Бізнес-література,українська,англійська,КСД,"Найкраще. Підсвідомості все підвладне. Квантовий воїн. Гроші, успіх і ви",,"Віталій Пустовойт, Марія Кравцова",2023.0
978-617-7863-57-0,Канеман Д. та ін.,Психологія,українська,,Наш формат,Шум. Хибність людських суджень,,,2022.0
978-617-7756-47-6,,Дозвілля та Хобі,українська,,Malopus,Друзі. Офіційна кулінарна книга,,,2023.0
978-617-17-0203-5,Ніколь ле Пера,Психологія,українська,,Віват,"Сяйво свідомого «я». Як зцілити душу, тіло та розум ізсередини",,,2023.0
978-617-12-9909-2,М. Вікінг,"Саморозвиток, мотивація",українська,англійська,КСД,Маленька книга хюґе. Як жити добре по-данськи,The Little Book of Hygge. The Danish Way to Live Well,К. Б. Бабкіна,
978-617-12-9895-8,Р.  Докінз,Наукпоп,українська,англійська,КСД,"Бог, що віджив своє. Довідник для початківців",Outgrowing God. A Beginner’s Guide,,2023.0
978-617-95186-2-1,Є. Кузнєцова,"Історія, факти та біографії",українська,,Твоя Підпільна Гуманітарка,Мова-меч. Як говорила радянська імперія,,,2024.0
978-617-8115-87-6,Річард Голловей,"Історія, факти та біографії",українська,,Наш формат,Коротка історія релігії,,,2023.0
978-617-12-8133-2,"Дж. Зонненбурґ, Е. Зонненбурґ",Наукпоп,українська,англійська,КСД,"Здоровий кишечник. Контроль ваги, настрою та здоров’я","The Good Gut: Taking Control of Your Weight, Your Mood, and Your Long Term Health",Я. А. Лебеденко,2020.0
978-617-8120-22-1,"І. Полудьонний, М. Лівін",Психологія,українська,,Наш формат,Як це війна? Психологічний досвід повномасштабного вторгнення,,,2024.0
978-966-993-247-1,С. Протеро,"Історія, факти та біографії",українська,,Bookchef,"Вісім релігій, що панують у світі",,,2021.0
978-617-548-072-4,Ю. Н. Харарі,Наукпоп,українська,,Bookchef,21 урок для 21 століття,,,2022.0
978-617-8115-69-2,Е. Ларсон,"Історія, факти та біографії",українська,,Наш формат,"Велич і ницість. Історія про Черчилля, його родину та спротив під час Лондонського бліцу",,,2022.0
978-617-679-731-9,,Дозвілля та Хобі,англійська,,Видавництво Старого Лева,Ukraїner. Ukrainian Insider,,,2019.0
978-617-7513-32-1,К. Макґоніґал,Психологія,українська,,Наш формат,Сила волі. Шлях до влади над собою,,,2017.0
9772708326201,,Дозвілля та Хобі,українська,,Forbes Ukraine,Forbes Ukraine. №1 (лютий-березень 2024),,,2024.0
978-617-8277-21-5,А. Рікман,"Історія, факти та біографії",українська,англійська,Наш формат,"Шалено, глибоко. Щоденники Алана Рікмана","Madly, Deeply: The Diaries of Alan Rickman",,2023.0
978-617-8120-86-3,Р. Голідей,Психологія,українська,,Наш формат,Відвага кличе. Доля допомагає хоробрим,,,2023.0
9786170041180,Н. Чуб,Психологія,українська,,ВГ «Основа»,Усе про адаптацію дитини у нових обставинах,,,2024.0
978-966-9766-77-9,Дід Свирид,"Історія, факти та біографії",українська,,Силаева О.В.,Історія України від діда Свирида. Книга 3,,,2020.0
978-617-15-0634-3,М. Джей,"Саморозвиток, мотивація",українська,,КСД,Визначні роки. Як перетворити хороші шанси на великі можливості,,,2024.0
978-617-12-7615-4,під ред. Ж.-Ф. Марміона,Психологія,українська,французька,КСД,Чому люди тупі? Психологія дурості,The psychology of stupidity,М. Г. Марченко,2020.0
978-617-8257-43-9,Михайлова Вікторія,Наукпоп,українська,,Віхола,Запитайте у фармацевта. Як працюють ліки,,,2023.0
978-617-548-169-1,Д/ Чопра,Наукпоп,українська,,Bookchef,Секрети аюрведи. Цілюща сила для здоров’я розуму й тіла,,,2023.0
978-617-12-9851-4,"К. Льобер, Х. Ґраббе",Наукпоп,українська,,КСД,"Внутрішня історія. Як вухо, горло, ніс скеровують нас у житті",,,2022.0
978-617-15-0178-2,"Олег Криштопа, Іван Дерейко","Історія, факти та біографії",українська,,КСД,Історія для дорослих,,,2023.0
978-617-7513-02-4,"А. Остервальдер, І. Піньє",Бізнес-література,українська,,Наш формат,"Створюємо бізнес-модель. Як зробити контент, продукт чи бренд популярним",,,2023.0
978-617-15-0371-7,Дж. Гаррісон,"Саморозвиток, мотивація",українська,англійська,КСД,"5 життєвих питань, які треба розв’язати всім парам, або Чому так важливо мити посуд",Five Arguments All Couples (Need To) Have,Мочалова Н. С.,2023.0
978-617-7279--06-7,А. Ренд,Психологія,українська,,Наш формат,Атлант розправив плечі. Частина перша. Несуперечність,,,2015.0
978-966-97667-0-0,Дід Свирид,"Історія, факти та біографії",українська,,Силаева О.В.,Історія України від діда Свирида Книга 2,,,2017.0
978-617-523-051-0,Лексі та Ліндсі Кайт,Наукпоп,українська,,АРТБУКС,"Більше ніж тіло. Ваше тіло - знаряддя, а не прикраса",,,2023.0
978-617-15-0709-8,Р. Нафузі,Психологія,українська,англійська,КСД,Маніфест. 7 кроків до кращого життя,Manifest: 7 Steps to Living Your Best Life,Савінова Олена,2024.0
978-617-548-079-3,Сінсеро Дж,Психологія,українська,,Bookchef,"Не дрейф. Припини сумніватися в собі, упевнись у своїй силі й почни жити чудовим життям!",,,2022.0
978-617-12-7453-2,Л. Хей,Психологія,українська,англійська,КСД,Мудрість жінки,"Empowering Women: A Guide to Loving Yourself, Breaking Rules, and Bringing Good into Your Life",Н. В. Третякова,2020.0
978-966-448-091-5,Вітольд Шабловський,"Історія, факти та біографії",українська,,Видавництво Старого Лева,"Кухня терору, або як збудувати імперію ножем, ополоником і виделкою",,,2023.0
9789669984876,,Наукпоп,українська,,Право,Конституція України,,,2024.0
978-617-15-0003-7,Ґупта С.,Наукпоп,українська,англійська,КСД,Ясний розум. Як омолодити мозок за 12 тижнів,Keep Sharp: Build a Better Brain at Any Age,Кожедуб Дмитро,2023.0
978-617-8115-29-6,"Голідей Р., Генсільман С.",Психологія,українська,,Наш формат,"Стоїцизм на кожен день. 366 роздумів про мудрість, стійкість і мистецтво жити",,,2022.0
978-966-448-147-9,Сендс Філіп,"Історія, факти та біографії",українська,,Видавництво Старого Лева,Щурячий лаз,,,2023.0
978-617-170-140-3,М. Жирохов,"Історія, факти та біографії",українська,,Віват,Зброя Перемоги. Оновлене видання,,,2023.0
978-617-523-183-8,Дженнетт Мaккерді,"Історія, факти та біографії",українська,,АРТБУКС,"Я рада, що моя мама померла",,,2024.0
978-617-8120-36-8,,Наукпоп,українська,,Наш формат,Посібник рейнджера. Не для слабких чи легкодухих,,,2023.0
978-617-15-0381-6,Рік Рубін,"Саморозвиток, мотивація",українська,англійська,КСД,Творчий акт: спосіб буття,The Creative Act: A Way of Being,Яцюк Н. Г.,2023.0
978-617-12-8583-5,В. Франкл,Психологія,українська,,КСД,Людина в пошуках справжнього сенсу. Психолог у концтаборі,,,
978-617-8299-08-8,Б. Джонсон,Дозвілля та Хобі,українська,,Лабораторія,Життя Браяна. Мемуари соліста AC/DC,,,2023.0
978-617-15-0611-4,Л. Бурбо,Психологія,українська,французька,КСД,Слухай своє тіло — найкращого друга у всьому світі,Ecoute ton corps - ton plus grand ami sur la Terre,А. А. Рєпа,2024.0
978-617-12-7650-5,М. Аврелій,"Історія, факти та біографії",українська,давньогрецька,КСД,Розмисли. Наодинці з собою,Meditations,О. Омецінський,2020.0
978-617-8277-60-4,Дж. Медіна,Наукпоп,українська,,Наш формат,Правила розвитку мозку дитини. Ростимо розумного і щасливого малюка від 0 до 5 років,,,2024.0
978-617-8115-06-7,Найл Кіштайні,Наукпоп,українська,,Наш формат,Коротка історія економіки,,,2023.0
978-617-15-0717-3,Е. Наґоскі,Наукпоп,українська,англійська,КСД,Як довго бажає жінка. Наука (і мистецтво!) створення тривалих сексуальних зв’язків,COME TOGETHER: The Science (and Art!) of Creating Lasting Sexual Connections,,2024.0
978-617-15-0285-7,Л. Гунель,"Саморозвиток, мотивація",українська,французька,КСД,"День, що навчив мене жити",,З. Борисюк,2023.0
978-617-7682-28-7,"Бенджамін Ґрем, Джейсон Цвейг",Бізнес-література,українська,,Наш формат,Розумний інвестор. Стратегія вартісного інвестування,,,2023.0
978-966-938-136-1,,"Езотерика, таро",українська,,Свічадо,Ілюстрована Біблія,,,2018.0
978-617-12-9844-6,Нік Трентон,Психологія,українська,,КСД,Зберігайте спокій. 23 техніки життя без стресу,,,2022.0
9786177960026,В. Станчишин,Психологія,українська,,Віхола,Стіни в моїй голові. Жити з тривожністю і депресією,,,2020.0
978-617-8257-86-6,В. Саркісян,Наукпоп,українська,,Віхола,Убивче зілля. Історії (не)вигаданих отрут,,,2024.0
978-617-548-202-5,Д. Диспенза,Психологія,українська,,Bookchef,Шлях до надприродного. Як звичайні люди досягають незвичайного,,,2024.0
978-617-12-9905-4,Д. Норман,Бізнес-література,українська,англійська,КСД,Дизайн звичних речей,The Design of Everyday Things,,2023.0
978-617-7279-18-0,Д. Канеман,Психологія,українська,,Наш формат,Мислення швидке й повільне,,,2017.0
978-617-95267-6-3,М. Кідрук,Наукпоп,українська,,Бородатий Тамарин,Теорія неймовірності,,,2023.0
978-617-548-062-5,Хітомі Шіда,Дозвілля та Хобі,українська,,Bookchef,Секрети японських візерунків. 260 схем для плетіння спицями,,,2022.0
978-617-585-123-4,О. Палій,"Історія, факти та біографії",українська,,А-БА-БА-ГА-ЛА-МА-ГА,Короткий курс історії України,,,2017.0
978-617-12-9894-1,Р. Докінз,Наукпоп,українська,,КСД,Найграндіозніше шоу на Землі: доказ еволюції,,,2023.0
978-617-679-686-2,Б. Логвиненко,Дозвілля та Хобі,українська,,Видавництво Старого Лева,Ukraїner. Країна зсередини,,,2019.0
978-966-993-263-1,Т. Батлер-Боудон,Психологія,українська,,Bookchef,"Психологія. 50 видатних книг.  Ваш путівник найважливішими роботами про мозок, особистість і людську природу",,,2020.0
978-617-15-0001-3,Ньюсон Л.,Наукпоп,українська,,КСД,Бути жінкою. Усе про клімакс та менопаузу,,Бурлей Вікторія,2023.0
978-617-12-8592-7,"К. Рашиді, Ю. К. Бергланд",Наукпоп,українська,норвезька,КСД,Внутрішня історія. Anus. Несподівані відкриття,Manus om anus,,2021.0
978-617-15-0286-4,І. Ялом,Психологія,українська,англійська,КСД,Коли Ніцше плакав,When Nietzsche wept,О. Б. Король,2019.0
978-617-12-9901-6,С. Гокінґ,Наукпоп,українська,англійська,КСД,На плечах гігантів. Величні прориви в фізиці та астрономії,On The Shoulders Of Giants: The Great Works Of Physics And Astronomy,Ярослав Лебеденко,2023.0
9789669823403,"Джоан Деклер, Джон Ґоттман",Психологія,українська,,Віват,Емоційний інтелект у дитини,,,2022.0
978-617-548-171-4,М. Девайн,Психологія,українська,,Bookchef,"Це ОК, якщо ви не ОК. Як пережити горе і втрату",,,2023.0
978-617-7544-12-7,Я. Грицак,"Історія, факти та біографії",українська,,Yakaboo Publishing,Нарис історії України. Формування модерної нації XIX-XX століття,,,2019.0
978-617-7756-97-1,,Дозвілля та Хобі,українська,,Malopus,Найповніша книга заклинань світу Гаррі Поттера. Неофіційне видання,,,2024.0
978-617-12-9849-1,Ш. Шталь,Психологія,українська,німецька,КСД,Твоїй внутрішній дитині потрібен дім,Das Kind in dir muss Heimat finden,,2022.0
978-617-15-0509-4,"Дж. Велч, С. Велч",Бізнес-література,українська,англійська,КСД,Переможець,Winning,Савінова Олена,2024.0
978-617-12-9264-2,Р. Грін,Психологія,українська,англійська,КСД,48 законів влади,The 48 Laws of Power,О. А. Герасимчук,
978-617-8053-44-4,Давид де Йонг,"Історія, факти та біографії",українська,,Лабораторія,Нацисти-мільярдери. Темна історія найбагатших династій Німеччини,,,2023.0
978-617-548-164-6,"Кай Берд, Мартін Шервін","Історія, факти та біографії",українська,,Bookchef,Оппенгеймер. Тріумф і трагедія Американського Прометея,,,2023.0
978-617-8120-14-6,Герберт Макмастер,"Історія, факти та біографії",українська,англійська,Наш формат,Поля битв: боротьба за захист вільного світу,,,2023.0
978-617-12-9942-9,В. В’ятрович,"Історія, факти та біографії",українська,,КСД,(Не)історичні миті. Нариси про минулі сто років. Оновлене,,,
978-966-993-715-5,Ю. Н. Харарі,Психологія,українська,,Форс,Sapiens: Людина розумна. Коротка історія людства,,,2021.0
978-617-12-9781-4,Сергій Плохій,"Історія, факти та біографії",українська,,КСД,Ядерне безумство. Історія Карибської кризи,,,2022.0
978-617-8023-25-6,"Е. Ассанте, Дж. Де Амічіс",Дозвілля та Хобі,українська,,Жорж,Інфорок. Історія рок-музики,,,2023.0
