ISBN,Імʼя автора,Жанр книги,Мова,Мова оригіналу,Назва видавця,Назва книги,Оригінальна назва,Перекладач,Рік видання
978-617-12-3944-9,В. Шкляр,eBooks - Сучасні автори,українська,,КСД,Маруся,,,2017.0
9786171505636,А. Фінлі,eBooks - Детективи,українська,,КСД,Вечірня зміна,,,2023.0
9786171503212,А. Кокотюха,eBooks - Детективи,українська,,КСД,Зцілення невинністю. Київська сищиця,,,2023.0
978-617-12-1823-9,М. Кідрук,eBooks - Сучасні автори,українська,,КСД,Зазирни у мої сни,,,2016.0
978-617-12-3129-0,С. Кінг,eBooks - Фентезі,українська,,КСД,Куджо,,,
9786171506756,С. Талан,eBooks - Сучасні автори,українська,,КСД,ЇЇ вишиване життя,,,2024.0
9786171203426,М. Зузак,eBooks - Сучасні автори,українська,,КСД,Крадійка книжок,,,2020.0
9786171290600,В. Тевіс,eBooks - Сучасні автори,українська,,КСД,Хід королеви,,,2021.0
978-617-12-6981-1,П. Мирний,eBooks - Класика,українська,,КСД,"Хіба ревуть воли, як ясла повні?",,,2019.0
978-617-12-6359-8,А. Дюма,eBooks - Дітям від 12 років,українська,,КСД,Робін Гуд,,,2019.0
9789661474498,Дж. Лондон,eBooks - Дітям 7-12 років,українська,,КСД,Біле Ікло,,,2014.0
9786171295186,Д. Сазерленд,"eBooks - Саморозвиток, мотивація",українська,,КСД,Scrum. Навчись робити вдвічі більше за менший час,,,
9786171292055,С. Вілар,eBooks - Історико-пригодницькі,українська,,КСД,У той день...,,,2021.0
9786171282261,А. Крісті,eBooks - Детективи,українська,,КСД,Карти на стіл,,,2020.0
9786171286771,"Д. Кенфілд, М. В. Гансен, Е. Ньюмарк",eBooks - Психологія,українська,,КСД,Курячий бульйон для душі. Знайди своє щастя,,,2020.0
9786171508330,Р. Метісон,eBooks - Сучасні автори,українська,,КСД,Куди приводять мрії,,,2024.0
9786171504721,І. Франко,eBooks - Класика,українська,,КСД,Захар Беркут,,,2023.0
9786171503519,Д. Лігейн,eBooks - Детективи,українська,,КСД,Острів проклятих,,,2023.0
9786171504035,Д. Сеттерфілд,eBooks - Сучасні автори,українська,,КСД,Тринадцята казка,,,2023.0
9786171217836,О. Вишня,eBooks - Класика,українська,,КСД,Вишневі усмішки. Заборонені твори,,,2016.0
9786171508309,Т. Мафі,eBooks - Фентезі,українська,,КСД,Розпали мене. Книга 3,,,2024.0
9786171275706,Н. Дурунда,eBooks - Романи про кохання,українська,,КСД,Зрада,,,2020.0
9786171280649,О. Генрі,eBooks - Дітям від 12 років,українська,,КСД,Вождь червоношкірих,,,2020.0
9786171277632,Л. Гунель,"eBooks - Саморозвиток, мотивація",українська,,КСД,Я обіцяю тобі волю,,,2020.0
9786171299627,Д.Сміт,eBooks - Психологія,українська,,КСД,Чому мені раніше цього не казали? Стратегія спокійного життя в буремні часи,,,2022.0
9786171282445,"Дж. Зонненбурґ, Е. Зонненбурґ",eBooks - Здоров’я,українська,,КСД,"Здоровий кишечник. Контроль ваги, настрою та здоров’я",,,2020.0
9789661427395,М. Коцюбинський,eBooks - Класика,українська,,КСД,Тіні забутих предків. Новели,,,2011.0
9786171503335,Б. Сандерсон,eBooks - Фентезі,українська,,КСД,Слова Променистого ордену. Хроніки Буресвітла. Книга 2,,,2023.0
9786171503489,А. Крісті,eBooks - Детективи,українська,,КСД,Німий свідок,,,2023.0
9786171288072,К. Равікант,eBooks - Психологія,українська,,КСД,Полюби себе. Як підвищити самооцінку та прийняти себе,,,2021.0
9786171502390,С. Бекетт,eBooks - Детективи,українська,,КСД,Записано на кістках. Друге розслідування,,,
978-617-12-4449-8,Дж. О. Кервуд,eBooks - Історико-пригодницькі,українська,,КСД,Бродяги Півночі,,,2017.0
9786171508156,Ю. Даценко,eBooks - Детективи,українська,,КСД,Життя вічне. Книга 4,,,2024.0
9786171503038,Томас Гарріс,eBooks - Сучасні автори,українська,,КСД,Мовчання ягнят,,,2023.0
9786171508637,С. Пономаренко,eBooks - Трилери,українська,,КСД,Оманливе коло,,,2024.0
9786171501232,Л. Ньюсон,eBooks - Научпоп,українська,,КСД,Бути жінкою. Усе про клімакс та менопаузу,,,2023.0
9786171290273,О. Стафійчук,eBooks - Езотерика,українська,,КСД,Магічні таємниці мольфарів,,,2021.0
9786171508545,В. Мастєрова,eBooks - Сучасні автори,українська,,КСД,Осіннє танго,,,2024.0
9786171506633,Д. Браун,eBooks - Сучасні автори,українська,,КСД,Код да Вінчі,,,2024.0
9786171500761,А. Крісті,eBooks - Детективи,українська,,КСД,Місіс Мак-Ґінті померла,,,2023.0
9786171298217,А. Фінлі,eBooks - Детективи,українська,,КСД,Останній страх,,,2022.0
9786171299948,С. Талан,eBooks - Романи про кохання,українська,,КСД,Душа Ніколь,,,2023.0
9786171298125,Д. Гнатко,eBooks - Історико-пригодницькі,українська,,КСД,Він звав її Сандрою,,,2022.0
9786171291300,Е. Одрейн,eBooks - Трилери,українська,,КСД,Що не так з моєю матір’ю,,,2021.0
9786171236745,Т. Ґеррітсен,eBooks - Трилери,українська,,КСД,Асистент,,,2017.0
9786171275553,Дж. Лондон,eBooks - Класика,українська,,КСД,Поклик пращурів,,,2020.0
9786171507432,Д. Воронський,eBooks - Історико-пригодницькі,українська,,КСД,Самійло Кошич. Чорноморський похід,,,2024.0
9786171256903,А. Крісті,eBooks - Детективи,українська,,КСД,Убивства за абеткою,,,2018.0
9786171294646,Б. Шер,eBooks - Психологія,українська,,КСД,Омріяне життя. Як досягти бажаного в сім’ї та на роботі,,,
9786171500280,В. В’ятрович,eBooks - Історія і факти,українська,,КСД,(Не)історичні миті. Нариси про минулі сто років. Оновлене,,,
9786171281707,Л. Гунель,eBooks - Сучасні автори,українська,,КСД,"Людина, що хотіла бути щасливою",,,2020.0
9786171507340,Р. Гайнлайн,eBooks - Фантастика,українська,,КСД,Ляльководи,,,2024.0
9786171506879,С. Кінг,eBooks - Фантастика,українська,,КСД,Долорес Клейборн,,,2024.0
9786171506930,К. Стокетт,eBooks - Сучасні автори,українська,,КСД,Прислуга,,,2024.0
9786171278066,Е. Мак-Кінті,eBooks - Детективи,українська,,КСД,Ланцюг,,,2020.0
9786171298187,С. Кінг,eBooks - Фентезі,українська,,КСД,Темна половина,,,2022.0
9786171507494,П. Скай,eBooks - Романи про кохання,українська,,КСД,Ґудзики та ненависть. Книга 2,,,2024.0
9786171506084,А. Крісті,eBooks - Детективи,українська,,КСД,Убивство - це легко,,,2024.0
978-617-12-4007-0,А. Крісті,eBooks - Детективи,українська,,КСД,"Кишеня, повна жита",,,2017.0
9786171501089,Т. Ґеррітсен,eBooks - Детективи,українська,,КСД,"Останній, хто помре",,,2023.0
978-966-14-9950-7,"Т. Шевченко, І. Франко та ін.",eBooks - Класика,українська,,КСД,Перлини української класики,,,2015.0
9786171246362,В. Франкл,eBooks - Психологія,українська,,КСД,Лікар та душа. Основи логотерапії,,,2018.0
9786171237933,Е. Фромм,eBooks - Психологія,українська,,КСД,Мистецтво любові,,,
9786171285446,Л. Бурбо,eBooks - Психологія,українська,,КСД,"П’ять травм і масок, які заважають бути собою",,,2020.0
9786171503601,К. Монсеф,eBooks - Фентезі,українська,,КСД,У давній давнині були створіння...,,,2023.0
978-617-12-7268-2,О. Кобилянська,eBooks - Класика,українська,,КСД,Земля,,,2019.0
9786171295032,Дж. Мойєс,eBooks - Романи про кохання,українська,,КСД,Після тебе. Книга 2,,,
9786171255487,Р. Грін,eBooks - Психологія,українська,,КСД,48 законів влади,,,
9786171504608,Стівен Кінг,eBooks - Трилери,українська,,КСД,Кладовище домашніх тварин,,,2023.0
9789661435635,М. Кореллі,eBooks - Класика,українська,,КСД,Спокута Сатани,,,2012.0
9786171286801,В. Сміт,eBooks - Історико-пригодницькі,українська,,КСД,Тріумф сонця,,,2021.0
9786171299597,Нік Трентон,eBooks - Психологія,українська,,КСД,Зберігайте спокій. 23 техніки життя без стресу,,,2022.0
9786171295759,Р. Бретт,eBooks - Психологія,українська,,КСД,"Бог ніколи не моргає. 50 уроків, які змінять твоє життя",,,2022.0
978-617-12-4010-0,А. Крісті,eBooks - Детективи,українська,,КСД,Карибська таємниця,,,2017.0
9786171295155,Д. Коул,eBooks - Детективи,українська,,КСД,Лялька. Книга 1,,,
9786171505728,Рейвен Кеннеді,eBooks - Фентезі,українська,,КСД,Блиск,,,2023.0
978-617-12-6610-0,В. Шкляр,eBooks - Сучасні автори,українська,,КСД,Треба спитати у Бога,,,2019.0
9786171294707,Е. Кірк,eBooks - Научпоп,українська,,КСД,Код людства. Дивовижна історія наших генів,,,
9786171292086,А. Кокотюха,eBooks - Детективи,українська,,КСД,Зламані іграшки. Київська сищиця,,,2021.0
9786171506787,Кіра Касс,eBooks - Романи про кохання,українська,,КСД,Тисяча ударів серця,,,2024.0
9786171279025,С. Талан,eBooks - Сучасні автори,українська,,КСД,Де живе свобода. Книга 1,,,2020.0
9789661426145,Леся Українка,eBooks - Класика,українська,,КСД,Лісова пісня. Драматичні поеми. Лірика,,,2011.0
9786171299269,Бонні Ґармус,eBooks - Сучасні автори,українська,,КСД,Уроки хімії. Вечеря о шостій,,,2022.0
978-617-12-6966-8,Л. Буссенар,eBooks - Дітям від 12 років,українська,,КСД,Викрадачі діамантів,,,2019.0
978-617-12-5207-3,Ж. Верн,eBooks - Дітям 7-12 років,українська,,КСД,Діти капітана Ґранта,,,2018.0
9786171282988,Ф. Герберт,eBooks - Фантастика,українська,,КСД,Бог-Імператор Дюни,,,2020.0
9786171508453,Е. Вейр,eBooks - Історико-пригодницькі,українська,,КСД,Єлизавета Йоркська. Остання Біла троянда,,,2024.0
9786171280076,Д. Гнатко,eBooks - Історико-пригодницькі,українська,,КСД,Притулок семи вітрів,,,2020.0
9786171505247,Р. Гобб,eBooks - Фентезі,українська,,КСД,Учень убивці. Assassin 1,,,2023.0
978-617-12-1204-6,Я. Корчак,eBooks - Психологія,українська,,КСД,Як любити дитину,,,2016.0
978-617-12-6356-7,Д.Ф. Купер,eBooks - Дітям від 12 років,українська,,КСД,Звіробій,,,2019.0
9786171502154,Т. Белімова,eBooks - Історико-пригодницькі,українська,,КСД,Чужа провина,,,2023.0
9786171289796,"Дж. Фрайд, Д. Х. Хенссон",eBooks - Психологія,українська,,КСД,Remote. Офіс не потрібен,,,2021.0
9786171507319,А. Крісті,eBooks - Детективи,українська,,КСД,Тіло у бібліотеці,,,2024.0
9786171266407,І. Ялом,eBooks - Психологія,українська,,КСД,Коли Ніцше плакав,,,2019.0
9786171298811,Ф. Флеґґ,eBooks - Сучасні автори,українська,,КСД,Різдво з червоним кардиналом,,,2022.0
9786171501140,Дж. Мойєс,eBooks - Романи про кохання,українська,,КСД,Крамничка на розі,,,2023.0
9786171298156,К. Р. Сафон,eBooks - Сучасні автори,українська,,КСД,Марина,,,2022.0
9789661474474,Р. Е. Распе,eBooks - Дітям 7-12 років,українська,,КСД,Пригоди барона Мюнхгаузена,,,2014.0
9786171504691,Томас Гарріс,eBooks - Сучасні автори,українська,,КСД,Ганнібал,,,2023.0
9789661474511,Дж. Ф. Купер,eBooks - Дітям 7-12 років,українська,,КСД,Останній з могікан,,,2014.0
9786171299825,К. Фіцджеральд,eBooks - Научпоп,українська,,КСД,Зміни свій біологічний вік. Мінус 3 роки за 8 тижнів,,,2023.0
9786171504660,Томас Гарріс,eBooks - Сучасні автори,українська,,КСД,Сходження Ганнібала,,,2023.0
9786171507708,Д. Браун,eBooks - Сучасні автори,українська,,КСД,Цифрова фортеця,,,2024.0
9786171500822,Ч. Поланік,eBooks - Сучасні автори,українська,,КСД,Невидимі монстри,,,2023.0
9786171502031,Клеменс Мішлон,eBooks - Детективи,українська,,КСД,Тихий орендар,,,2023.0
9786171217485,В. В`ятрович,eBooks - Історія і факти,українська,,КСД,Україна. Історія з грифом «Секретно»,,,2020.0
9786171285415,Г. Цикіна,eBooks - Детективи,українська,,КСД,Остання крапля,,,2020.0
9786171294677,Е. Берн,eBooks - Психологія,українська,,КСД,Вступ до психіатрії та психоаналізу. Просто про складне,,,
9786171508392,А. Крісті,eBooks - Детективи,українська,,КСД,Примха мерця,,,2024.0
9786171213746,А. Сапковский,eBooks - Фентезі,українська,,КСД,Відьмак. Час погорди. Книга 4,,,
9786171255241,А. Крісті,eBooks - Детективи,українська,,КСД,Убивство Роджера Екройда,,,2018.0
978-617-12-5360-5,В. Шкляр,eBooks - Сучасні автори,українська,,КСД,Чорне Сонце,,,2018.0
9786171290242,Н. Нікалео та ін.,eBooks - Сучасні автори,українська,,КСД,Львів. Пристрасті. Таємниці,,,2021.0
9789661426794,Т. Шевченко,eBooks - Класика,українська,,КСД,Пророк. Поеми. Поезії,,,2011.0
9786171284906,Ф. Паріанен,eBooks - Здоров’я,українська,,КСД,"Гормони. Як тестостерон, ендорфіни і Ко впливають на наше життя",,,2020.0
9786171503458,С. Кінг,eBooks - Фентезі,українська,,КСД,Аутсайдер,,,2023.0
9786171504332,Р. Осман,eBooks - Детективи,українська,,КСД,"Куля, що не влучила",,,2023.0
9786171284227,М. Кідрук,eBooks - Сучасні автори,українська,,КСД,Бот. Ґуаякільський парадокс,,,2020.0
9786171299566,Макс Сеек,eBooks - Детективи,українська,,КСД,Мисливець на відьом,,,2022.0
9786171291096,Ю. Мендель,eBooks - Історія і факти,українська,,КСД,Кожен із нас - Президент,,,2021.0
9786171500372,Дмитро Воронський,eBooks - Історико-пригодницькі,українська,,КСД,"Мамай, або Перші козаки",,,2023.0
9786171503427,Ю. Горліс-Горський,eBooks - Історія і факти,українська,,КСД,Холодний Яр,,,2023.0
9786171502369,Б. І. Елліс,eBooks - Сучасні автори,українська,,КСД,Американський психопат,,,2023.0
9786171508125,К. Хантер,eBooks - Детективи,українська,,КСД,Доки темно. Книга 2,,,2024.0
9786171298309,В. Лис,eBooks - Сучасні автори,українська,,КСД,Графиня,,,2022.0
9789661480208,С. Кінг,eBooks - Сучасні автори,українська,,КСД,Містер Мерседес,,,2020.0
9786171299450,Ірина Звонок,eBooks - Історико-пригодницькі,українська,,КСД,Гальшка Острозька,,,2022.0
9786171291393,Т. Ґеррітсен,eBooks - Трилери,українська,,КСД,Хранителі смерті,,,2021.0
9786171289826,Т. Белімова,eBooks - Історико-пригодницькі,українська,,КСД,Винуваті люди,,,2021.0
9786171288225,Емілі та Амелія Наґоскі,eBooks - Психологія,українська,,КСД,Вигоряння. Стратегія боротьби з виснаженням удома та на роботі,,,2021.0
978-617-12-0347-1,Л. Дашвар,eBooks - Сучасні автори,українська,,КСД,Покров,,,2015.0
9786171278691,О. Стафійчук,eBooks - Езотерика,українська,,КСД,Примівник. Магія мольфарів,,,2020.0
9786171295452,А. Крісті,eBooks - Детективи,українська,,КСД,Вбивство у «Східному експресі»,,,
9786171505391,Е. Дорр,eBooks - Сучасні автори,українська,,КСД,Зозулина земля за хмарами,,,2023.0
9786171288256,О. Шутко,eBooks - Історія і факти,українська,,КСД,Гарем османських султанів. Доба «жіночого султанату»,,,2021.0
9786171500663,Н. Гуменюк,eBooks - Сучасні автори,українська,,КСД,І дощ не змиє всі сліди,,,2023.0
9786171292260,Р. Осман,eBooks - Детективи,українська,,КСД,Клуб убивств по четвергах,,,2021.0
9786171502185,С. Кінг,eBooks - Фентезі,українська,,КСД,Казка,,,2023.0
9786171290129,М. Ткачівська,eBooks - Історико-пригодницькі,українська,,КСД,Княгиня Острозька,,,2021.0
9786171285712,Д. Ніколлз,eBooks - Романи про кохання,українська,,КСД,Солодка печаль,,,2020.0
9786171504363,К. Вайт,eBooks - Романи про кохання,українська,,КСД,Крамниця на вулиці Роял,,,2023.0
978-617-12-3775-9,А. Сапковський,eBooks - Фентезі,українська,,КСД,Відьмак. Сезон гроз. Книга 8,,,2017.0
978-617-12-1978-6,Т. Ґеррітсен,eBooks - Трилери,українська,,КСД,Хірург,,,
978-617-12-2933-4,С. Кінг,eBooks - Фентезі,українська,,КСД,Крістіна,,,
9786171298361,Т. Вест,eBooks - Психологія,українська,,КСД,Придурки на роботі. Токсичні колеги і що з ними робити,,,2022.0
9786171291669,К. Р. Сафон,eBooks - Сучасні автори,українська,,КСД,Вересневі вогні. Книга 3,,,2021.0
9786171287624,С. Талан,eBooks - Сучасні автори,українська,,КСД,Сафарі на щастя,,,2021.0
9786171505452,Люко Дашвар,eBooks - Сучасні автори,українська,,КСД,СпАДок,,,2023.0
978-617-12-5216-5,В. Шкляр,eBooks - Сучасні автори,українська,,КСД,Самотній вовк,,,2018.0
9786171290396,С. Кінг,eBooks - Сучасні автори,українська,,КСД,Необхідні речі,,,2021.0
9789661481250,О. Печорна,eBooks - Сучасні автори,українська,,КСД,Фортеця для серця,,,2020.0
9786171280670,М. Рід,eBooks - Дітям від 12 років,українська,,КСД,Вершник без голови,,,2020.0
9786171502482,Т. Коллінз,eBooks - Дітям 7-12 років,українська,,КСД,Шерлок Бонз та Справа про Маску фараона. Книга 2,,,2023.0
9786171284692,К. Рейлі,eBooks - Романи про кохання,українська,,КСД,P.S. Я навчу тебе знову...,,,2020.0
9786171270534,А. Крісті,eBooks - Детективи,українська,,КСД,Смерть на Нілі,,,2019.0
978-617-12-7196-8,Е. Сальгарі,eBooks - Дітям від 12 років,українська,,КСД,На Далекому Заході,,,2019.0
9786171291997,Е. М. Ремарк,eBooks - Класика,українська,,КСД,Іскра життя,,,2021.0
978-617-12-3518-2,С. Кінг,eBooks - Фентезі,українська,,КСД,Протистояння. Том 2,,,2017.0
9786171288133,Л. Волок,eBooks - Романи про кохання,українська,,КСД,Останній шанс на кохання,,,2021.0
9786171294257,Д. Коул,eBooks - Детективи,українська,,КСД,Кат. Книга 2,,,2021.0
9786171285682,Е. Берн,eBooks - Психологія,українська,,КСД,"Секс у людському коханні. Ігри, в які грають у ліжку",,,2020.0
9786171282414,Г. Френсіс,eBooks - Здоров’я,українська,,КСД,Метаморфози. Нотатки лікаря про медицину та зміни людського тіла,,,2020.0
9786171295605,Л. Дашвар,eBooks - Сучасні автори,українська,,КСД,Молоко з кров’ю,,,
9786171295728,Р. Бретт,eBooks - Психологія,українська,,КСД,"Будь дивом: 50 уроків, щоб зробити неможливе можливим",,,
9786171292116,Е. Ферранте,eBooks - Сучасні автори,українська,,КСД,Брехливе життя дорослих,,,2021.0
9789661414975,Л. Дашвар,eBooks - Сучасні автори,українська,,КСД,Село не люди,,,2021.0
978-617-12-2013-3,А. Кокотюха,eBooks - Історико-пригодницькі,українська,,КСД,Багряний рейд,,,2016.0
9786171507586,К. Вайт,eBooks - Сучасні автори,українська,,КСД,Будинок на вулиці Пританія. Книга 2,,,2024.0
9786171284814,Кай-Міхаель Бе,eBooks - Здоров’я,українська,,КСД,Внутрішня історія. Легені. Дивовижний світ нашого дихання,,,2020.0
9786171506848,Ф. Флеґґ,eBooks - Сучасні автори,українська,,КСД,"Вітаємо в цьому світі, Крихітко!",,,2024.0
9786171294882,С. Кінг,eBooks - Фентезі,українська,,КСД,Острів Дума,,,
9786171293540,П. Коельйо,eBooks - Сучасні автори,українська,,КСД,Шлях лучника,,,
9786171503090,Н. Гуменюк,eBooks - Сучасні автори,українська,,КСД,Тінь Командора,,,2023.0
9786171298064,Т. Ґеррітсен,eBooks - Трилери,українська,,КСД,Убивчий холод,,,2022.0
9786171278332,І. Франко,eBooks - Класика,українська,,КСД,Перехресні стежки,,,2020.0
9789661474535,А. Конан Дойл,eBooks - Дітям 7-12 років,українська,,КСД,Нотатки про Шерлока Голмса,,,2014.0
9786171507371,Р. Метісон,eBooks - Фантастика,українська,,КСД,Я - легенда,,,2024.0
9786171502949,С. Кові,eBooks - Бізнес-література,українська,,КСД,7 звичок надзвичайно ефективних людей. Оновлено,,,2023.0
9786171502574,М. Елбом,eBooks - Сучасні автори,українська,,КСД,"П’ятеро, котрих зустрінеш на небесах",,,2023.0
9789661474573,Дж. Свіфт,eBooks - Дітям 7-12 років,українська,,КСД,Мандри Ґуллівера,,,2014.0
9786171503182,Стівен Кінг,eBooks - Фентезі,українська,,КСД,Під куполом,,,2023.0
9786171273078,С. Кінг,eBooks - Фентезі,українська,,КСД,Пісня Сюзанни. Темна Вежа VI,,,
9786171287778,А. Кокотюха,eBooks - Детективи,українська,,КСД,Лихе око. Павутиння мороку,,,2021.0
978-966-14-9400-7,М. Кідрук,eBooks - Сучасні автори,українська,,КСД,Небратні,,,2015.0
9786171507739,Д. Браун,eBooks - Сучасні автори,українська,,КСД,Точка обману,,,2024.0
9789661465694,С. Кінг,eBooks - Трилери,українська,,КСД,Сяйво,,,2019.0
9786171501119,О. Калина,eBooks - Сучасні автори,українська,,КСД,Довга зима,,,2023.0
9789661454681,О. Назарук,eBooks - Історико-пригодницькі,українська,,КСД,Роксоляна,,,2013.0
9786171507647,Дж. Аберкромбі,eBooks - Фентезі,українська,,КСД,Найкраще подавати холодною,,,2024.0
9786171294196,Л. Ла Плант,eBooks - Детективи,українська,,КСД,Поза підозрою,,,
9786171290068,О. Саліпа,eBooks - Романи про кохання,українська,,КСД,Зламані речі,,,2021.0
9786171502277,Фенні Флеґґ,eBooks - Сучасні автори,українська,,КСД,Чудовий хлопець із кафе «Зупинка»,,,2023.0
9786171294165,"Р. Ліппінкотт, М. Дотрі",eBooks - Романи про кохання,українська,,КСД,Увесь цей час,,,
9786171502512,Дж. Гарріс,eBooks - Сучасні автори,українська,,КСД,Льодяникові черевички. Книга 2,,,2023.0
9786171508422,Донато Каррізі,eBooks - Детективи,українська,,КСД,Нашіптувач. Книга 1,,,2024.0
9786171280762,Л. Дашвар,eBooks - Сучасні автори,українська,,КСД,#ГАЛЯБЕЗГОЛОВИ,,,2020.0
9786171275133,Д. Гнатко,eBooks - Історико-пригодницькі,українська,,КСД,Гніздо Кажана,,,2020.0
9786171279803,М. Куліш,eBooks - Класика,українська,,КСД,Мина Мазайло. Вибрані твори,,,2020.0
9786171283749,за ред С. Кінга і Б. Вінсента,eBooks - Фентезі,українська,,КСД,Лети або тремти,,,2020.0
9786171288164,Фоззі (О. Сидоренко),eBooks - Сучасні автори,українська,,КСД,Чорний хліб,,,2021.0
9786171505421,Дж. Гарріс,eBooks - Сучасні автори,українська,,КСД,Крадійка суниць. Книга 4,,,2023.0
9786171299979,О. Калина,eBooks - Сучасні автори,українська,,КСД,Довга дорога додому,,,2023.0
9786171299115,А. Крісті,eBooks - Детективи,українська,,КСД,Побачення зі смертю,,,2022.0
9786171267237,Н. Гурницька,eBooks - Сучасні автори,українська,,КСД,Мелодія кави у тональності кардамону. Книга 1,,,2014.0
9786171278516,Леся Українка,eBooks - Класика,українська,,КСД,Думи і мрії,,,2020.0
9786171502246,Д. Спрінг,eBooks - Психологія,українська,,КСД,Я пробачаю тобі. Свобода дарувати прощення,,,2023.0
9786171501201,Шарлотта Фокс Вебер,eBooks - Бізнес-література,українська,,КСД,"Чого я хочу. Дванадцять потаємних бажань, щоб підкорити світ",,,2023.0
9786171283015,М. Старицький,eBooks - Класика,українська,,КСД,За двома зайцями. Вибране,,,2020.0
9789661474450,В. Скотт,eBooks - Дітям 7-12 років,українська,,КСД,Айвенго,,,2014.0
9786171504240,А. Крісті,eBooks - Детективи,українська,,КСД,Забуте вбивство,,,2023.0
978-617-12-6224-9,В. Шкляр,eBooks - Сучасні автори,українська,,КСД,Тінь сови,,,2019.0
9786171266858,А. Крісті,eBooks - Детективи,українська,,КСД,Убивство в будинку вікарія,,,
9786171285385,М.  Етвуд,eBooks - Сучасні автори,українська,,КСД,Орикс і Деркач,,,2020.0
9786171293519,Л. Бурбо,eBooks - Психологія,українська,,КСД,Хто ти є? Як прийняти себе та зрозуміти інших,,,
9789661424837,Г. Квітка-Основ’яненко,eBooks - Класика,українська,,КСД,Конотопська відьма. Вибрані твори,,,2011.0
9786171502918,Джон Кехо,eBooks - Бізнес-література,українська,,КСД,"Найкраще. Підсвідомості все підвладне. Квантовий воїн. Гроші, успіх і ви",,,2023.0
9786171290006,"І. Мельниченко, В. Геращенко",eBooks - Історико-пригодницькі,українська,,КСД,Живі. Всупереч,,,2021.0
9786171298248,Г. Ткаченко,eBooks - Сучасні автори,українська,,КСД,Втрачене життя,,,2022.0
9786171501171,Л. Волок,eBooks - Романи про кохання,українська,,КСД,Не сумуй,,,2023.0
9786171280199,С. Плохій,eBooks - Історія і факти,українська,,КСД,Забуті покидьки східного фронту,,,2020.0
9786171249035,А. Крісті,eBooks - Детективи,українська,,КСД,Оголошено вбивство,,,2018.0
