ISBN,Імʼя автора,Жанр книги,Мова,Мова оригіналу,Назва видавця,Назва книги,Оригінальна назва,Перекладач,Рік видання
978-617-7995-14-1,Н. Розлуцький,Шкільна та Навчальна,українська,,ЧП АССА,Порадник юних українців,,,2023.0
978-617-12-8308-4,Х.К. Алонсо та iн.,Дітям 7-12 років,українська,,КСД,Крейдовий  період: Динозаври та інші прадавні тварини,,,2020.0
978-617-8109-22-6,Ічіґо Такано,Дітям від 12 років,українська,,Наша Ідея,Оранж. Том 1,,,2023.0
978-617-547-470-9,,Дітям 4-6 років,українська,,ЧП «Кристал Бук»,Абетка. З Україною в серці,,,2024.0
978-617-15-0506-3,Т. Коллінз,Дітям 7-12 років,українська,англійська,КСД,Шерлок Бонз та Справа про замок з привидами. Книга 4,Sherlock Bones and the Horror of the Haunted Castle,Соломарська Олена,2024.0
978-617-548-183-7,Е. Пітерсон,Дітям від 12 років,українська,,Bookchef,Сага про Літокрилів. На березі Зловісного моря пітьми. Книга 1,,,2024.0
978-966-982-296-3,,Дітям 4-6 років,українська,,Віват,Улюблені казки Андерсена,,,2024.0
978-617-547-487-7,,Дітям до 4-х років,українська,,ЧП «Кристал Бук»,575 перших слів малюка,,,2024.0
978-966-936-764-8,Д. Лисакова,Дітям 4-6 років,українська,,ЧП «Кристал Бук»,Книжка звуків + секретні віконця,,,2018.0
978-617-548-208-7,Т. Вест,Дітям від 12 років,українська,,Bookchef,Володарі драконів. Порятунок Сонячної дракониці. Книга 2,,,2023.0
978-617-548-179-0,М. Міст,Дітям 7-12 років,українська,,Bookchef,Маленька зла книжка. СПЕЦВИПУСК,,,2023.0
978-966-942-712-0,Г. Мункастер,Дітям 7-12 років,українська,,Віват,Айседора Мун запрошує на день народження,,,2019.0
978-966-7047-47-4,Р. Дал,Дітям 7-12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Чарлі і шоколадна фабрика,,,2014.0
9786177131310,брати Грімм,Дітям 7-12 років,українська,,Пегас,Казки. Брати Грімм,,,2022.0
978-966-989-077-1,Заржицька Е. І.,Дітям 4-6 років,українська,,Талант,Легенди про козаків,,,2022.0
978-617-12-8103-5,"Х. К. Алонсо, Ґ. С. Пол",Дітям від 12 років,українська,,КСД,Юрський період: Динозаври та інші давні тварини,,,2020.0
9789669474803,,Дітям 7-12 років,українська,,Пегас,Енциклопедія космосу для дітей,,,2022.0
978-966-982-851-4,,Дітям 7-12 років,українська,,Віват,Дитяча енциклопедія хижаків,,,2023.0
978-617-15-0284-0,Джей Ґарнетт,Дітям до 4-х років,українська,,КСД,Хто живе у лісі? Зазирни у віконечко,,,2024.0
9789669438713,,Дітям 7-12 років,українська,,Егмонт Україна,Класика Disney. Колекція казок,,,2022.0
978-966-935-894-3,Н. Стукман,Дітям 7-12 років,українська (англійська),,Талант,Малюк Коргі,,,2020.0
978-617-7341-78-8,,Дітям до 4-х років,українська,,Талант,Читання по складах,,,2016.0
978-966-913-537-7,,Дітям до 4-х років,українська,,Пегас,Моя перша книга. Про динозаврів,,,2021.0
9789667511913,Н. Н. Коваль,Дітям до 4-х років,українська,,АРТ,Кольорові зафарбовки. Кошеня,,,2024.0
978-617-8098-28-5,,Дітям до 4-х років,українська,,Талант,Тренуємо пальчики. Транспорт,,,2022.0
9786177846290,,Дітям 4-6 років,українська,,Ранок,Щенячий Патруль. Готові до гри. Місія у місті,,,2021.0
978-617-547-490-7,,Дітям 4-6 років,українська,,ЧП «Кристал Бук»,"Виховальні казки. Усе, що важливо знати дітям",,,2024.0
978-617-547-444-0,,Дітям 4-6 років,українська,,ЧП «Кристал Бук»,Моя люба Україна. Вірші про нашу Батьківщину,,,2023.0
978-617-12-9788-3,Х.К. Алонсо,Дітям від 12 років,українська,,КСД,Наземні ссавці світу,,,2024.0
978-966-942-986-5,К. Гібберт,Дітям від 12 років,українська,,Віват,Дитяча енциклопедія планети Земля,,,2019.0
978-617-7678-31-0,К. Каната,Дітям 7-12 років,українська,,Наша Ідея,Чі. Життя однієї киці. Том 1,,,2019.0
978-617-547-483-9,,Дітям 4-6 років,українська,,ЧП «Кристал Бук»,Корисні казки,,,2024.0
978-966-982-063-1,Г. Блек,Дітям від 12 років,українська,,Віват,Жорстокий принц,,,2020.0
978-617-7678-46-4,"Ж-К. Дерр’єн, Фрижель",Дітям 7-12 років,українська,,Наша Ідея,Фріжель і Флаффі. Том 2. Турнір зірок,,,2020.0
9789669439536,,Дітям 4-6 років,українська,,Егмонт Україна,Історії на ніч. Колекція казок,,,2023.0
978-617-679-200-0,М. МакДоналд,Дітям 7-12 років,українська,,Видавництво Старого Лева,Джуді Муді стає знаменитою. Книга 2,,,2019.0
978-966-2909-45-6,Б. Шефер,Дітям 7-12 років,українська,,Видавництво Старого Лева,Кіра й таємниця бублика,,,
978-966-993-255-6,Гаррієт Бічер-Стоу,Дітям 7-12 років,українська,,Bookchef,Хатина дядька Тома,,,2020.0
978-966-982-008-2,Г. Мункастер,Дітям 7-12 років,українська,,Віват,Айседора Мун іде на ярмарок,,,2020.0
978-617-09-8023-6,укл. Т. С. Жабська,Дітям 7-12 років,українська,,Ранок,Старовинні українські легенди,,,2022.0
9789669479075,,Дітям 4-6 років,українська,,Пегас,Буквар (логопедичний),,,2023.0
978-617-548-157-8,Карлі Енн Вест,Дітям від 12 років,українська,,Bookchef,"Привіт, сусіде. Книга 4: Давні образи",,,2023.0
978-617-12-9795-1,"Б. Вілсон, В. Поттер",Дітям до 4-х років,українська,,КСД,Захопливі лабіринти. Понад 100 цікавих завдань,,,2022.0
978-966-982-200-0,Г. Блек,Дітям від 12 років,українська,,Віват,Королева порожнечі,,,2020.0
978-617-7678-60-0,"Ж-К. Дерр’єн, Фрижель",Дітям 7-12 років,українська,,Наша Ідея,Фріжель і Флаффі. Том 3. Первозданний блок,,,2021.0
978-617-547-466-2,,Дітям від 12 років,українська,,ЧП «Кристал Бук»,Статеве виховання від 0 до 18. Зрозуміла психологія,,,2024.0
978-617-585-118-0,Р. Дал,Дітям 7-12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Відьми,,,2016.0
978-617-679-879-8,Г. Вдовиченко,Дітям 7-12 років,українська,,Видавництво Старого Лева,36 і 6 котів-рятувальників,,,2021.0
9789669472274,,Дітям 4-6 років,українська,,Пегас,Весела ферма,,,2022.0
9786171703384,Карін-Марі Амйо,Дітям 4-6 років,українська,,Віват,Прекрасні дідусеві казочки,,,2024.0
978-966-429-445-1,К. Ґір,Дітям від 12 років,українська,,ВД «Школа»,Timeless. Смарагдова книга. Книга 3,,,2019.0
978-617-12-4206-7,Р. Стівенсон,Дітям від 12 років,українська,,КСД,Острів скарбів,,,2017.0
9789669439178,,Дітям 4-6 років,українська,,Егмонт Україна,Людина-павук 5 історій,,,2023.0
9789664665176,,Дітям 4-6 років,українська,,Пегас,Улюблені казки,,,2022.0
978-966-982-255-0,Т. Канаван,Дітям 7-12 років,українська,,Віват,Дитяча енциклопедія наукових експеритментів,,,2021.0
9789669439505,,Дітям до 4-х років,українська,,Егмонт Україна,Крижане серце. Колекція казок,,,2023.0
978-617-548-033-5,Ф. Шойнеманн,Дітям 7-12 років,українська,,Bookchef,Пригоди кота-детектива. Книга 4: Заради сардин в олії,,,2023.0
978-966-936-785-3,,Дітям 4-6 років,українська,,ЧП «Кристал Бук»,Великий виммельбух. Світ навколо тебе,,,
978-617-8109-01-1,К. Шірахама,Дітям від 12 років,українська,,Наша Ідея,Ательє чаклунських капелюхів. Том 6,,,2022.0
978-966-429-705-6,В. Федієнко,Дітям 7-12 років,українська,,ВД «Школа»,Основи швидкочитання. 25 занять. Книга-тренінг по 25 хвилин,,,2021.0
978-617-585-188-3,,Дітям від 12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,"Агенція «Локвуд і Ко». Череп, що шепоче. Книга 2",,,2020.0
978-617-547-474-7,,Дітям 4-6 років,українська,,ЧП «Кристал Бук»,Світ почуттів та емоцій. Зрозуміла психологія,,,2024.0
978-617-585-187-6,Дж. Роулінг,Дітям від 12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Фантастичні звірі: Злочини Гріндельвальда,,,2022.0
9789667513016,,Дітям до 4-х років,українська,,Ранок,Коза-дереза,,,2023.0
978-966-982-704-3,,Дітям 7-12 років,українська,,Віват,Планета Земля,,,2023.0
978-966-429-444-4,К. Ґір,Дітям від 12 років,українська,,ВД «Школа»,Timeless. Сапфірова книга. Книга 2,,,2017.0
978-966-448-112-7,О. Орлова,Дітям від 12 років,українська,,Видавництво Старого Лева,Мандрівка шоколаду,,,2023.0
9789667512460,Н. Н. Коваль,Дітям до 4-х років,українська,,АРТ,Кольорові зафарбовки. Машинки,,,2024.0
978-966-448-031-1,Ройз Світлана,Дітям 4-6 років,українська,,Видавництво Старого Лева,Ключі сили,,,2022.0
9789664668818,,Дітям до 4-х років,українська,,Пегас,Три ведмеді,,,2023.0
978-966-429-736-0,М. Павленко,Дітям від 12 років,українська,,ВД «Школа»,Щоденник закоханої ідіотки,,,2024.0
978-617-09-7630-7,Булгакова Г.,Дітям 4-6 років,українська,,Ранок,Велика енциклопедія для чомусика,,,2022.0
978-966-935-310-8,,Дітям до 4-х років,українська,,Талант,Перша книга малюка,,,2017.0
9789664669761,,Дітям до 4-х років,українська,,Пегас,Івасик-Телесик,,,2023.0
978-617-00-4176-0,"О. М. Любченко, О. С. Любченко",Дітям 7-12 років,українська,,ВГ «Основа»,Англійська - це круто! Візуалізований довідник. 3-4 класи,,,2023.0
978-617-7678-63-1,Т. Валенте,Дітям від 12 років,українська,,Наша Ідея,Радіант. Том 3,,,2021.0
978-617-767-85-18,К. Каната,Дітям 7-12 років,українська,,Наша Ідея,Чі. Життя однієї киці. Том 4,,,2020.0
978-617-585-246-0,А. Кокотюха,Дітям від 12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Потаємні двері,,,2023.0
978-617-585-100-5,Дж. К. Ролінґ,Дітям від 12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Гаррі Поттер і філософський камінь. Книга 1,,,
978-966-429-005-7,В. Нестайко,Дітям 7-12 років,українська,,ВД «Школа»,"Секрет Васі Кицина. Енелолик, Уфа і Жахоб’як. Книга 2",,,2019.0
9786177084340,Г.К. Андерсен,Дітям 7-12 років,українська,,Пегас,Казки. Г.К. Андерсен,,,2022.0
978-966-429-544-1,К. Ґір,Дітям від 12 років,українська,,ВД «Школа»,Зільбер. Третя книга сновидінь,,,2019.0
978-617-15-0713-5,А. Шмахтль,Дітям 4-6 років,українська,німецька,КСД,Тільда Яблучне Зернятко. Книга 3. Чудовий рік у Шипшиновому провулку,"Tilda Apfelkern. Frühling, Sommer, Herbst und Winter",Хабарова Олена,2024.0
9786170983947,,Дітям 7-12 років,українська,,Ранок,Казки про славетних українців,,,2024.0
978-617-585-176-0,Р. Дал,Дітям 7-12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Чарлі і великий скляний ліфт,,,2019.0
978-617-679-109-6,МакДоналд М.,Дітям 7-12 років,українська,,Видавництво Старого Лева,Джуді Муді. Книга 1,,,2022.0
9789667508494,І. Сонечко,Дітям до 4-х років,українська,,Ранок,Все про ведмежатко,,,2022.0
978-617-585-279-8,М. Енде,Дітям 4-6 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Джим Ґудзик і машиніст Лукас. Книга перша,,,2024.0
978-966-7047-70-2,Дж. К. Ролінґ,Дітям від 12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Гаррі Поттер і cмертельні реліквії. Книга 7,,,2019.0
9789667513054,,Дітям до 4-х років,українська,,Ранок,Лисичка та журавель,,,2023.0
9789669439529,,Дітям 4-6 років,українська,,Егмонт Україна,Пухнасті історії. Колекція казок,,,2023.0
978-617-7678-58-7,А. Руе,Дітям від 12 років,українська,,Наша Ідея,Аптека ароматів. Таємниця старовинних флаконів,,,2021.0
978-617-15-0516-2,А. Шмахтль,Дітям 4-6 років,українська,німецька,КСД,Тільда Яблучне Зернятко. Книга 1. Чудові історії із Шипшинового провулка,Tilda Apfelkern. Wunderbare Geschichten aus dem Heckenrosenweg,Трегубенко Олена,2024.0
9789664668771,,Дітям до 4-х років,українська,,Пегас,Кіт у чоботях,,,2023.0
978-966-672-457-4,Т. В. Погарська  та ін.,Дітям 7-12 років,українська (англійська),,Ранок,Ілюстрованний англійсько-український словник. 1-4 класи,,,
978-617-7678-44-0,К. Каната,Дітям 7-12 років,українська,,Наша Ідея,Чі. Життя однієї киці. Том 3,,,2020.0
978-617-8132-39-2,В. Фадєєва,Дітям від 12 років,українська,,Видавництво ТУТ,Доглядачка та її маяк (лімітована),,,2024.0
978-617-585-221-7,Дж. Ролінґ,Дітям 7-12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Різдвяна свинка,,,2021.0
978-617-679-398-4,Г. Вдовиченко,Дітям 7-12 років,українська,,Видавництво Старого Лева,36 і 6 котів-детективів,,,2017.0
978-617-12-6288-1,Л. Керролл,Дітям від 12 років,українська,,КСД,Аліса в Дивокраї,,,2020.0
9789667513047,,Дітям до 4-х років,українська,,Ранок,Котик і півник,,,2023.0
978-617-12-7918-6,М. Рід,Дітям від 12 років,українська,,КСД,Вершник без голови,,,2020.0
978-617-585-053-4,А. Кокотюха,Дітям від 12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Таємниця підводного човна,,,
978-617-00-4160-9,"О. М. Любченко, О. С. Любченко",Дітям 7-12 років,українська,,ВГ «Основа»,Англійська - це круто! Візуалізований довідник. 1-2 класи,,,2023.0
978-617-547-381-8,,Дітям 4-6 років,українська,,ЧП «Кристал Бук»,Корисні казки. Як подолати страхи?,,,2023.0
9789669135292,,Дітям 4-6 років,українська,,Пегас,Про свійських тварин,,,2022.0
978-617-547-486-0,,Дітям 4-6 років,українська,,ЧП «Кристал Бук»,Корисні казки. Як не давати себе ображати?,,,2024.0
978-966-429-809-1,Анна Беннінґ,Дітям від 12 років,українська,,ВД «Школа»,"День, коли світ розірвався. Вихор. Книга 1",,,2024.0
978-966-993-523-6,М. Міст,Дітям 7-12 років,українська,,Bookchef,Маленька зла книжка. Книга 1,,,2021.0
978-617-7678-48-8,Т. Валенте,Дітям від 12 років,українська,,Наша Ідея,Радіант,,,2020.0
978-966-982-383-0,,Дітям 4-6 років,українська,,Віват,Улюблені казки Перро,,,2024.0
978-617-7678-80-8,Ж-К. Дерр’єн,Дітям 7-12 років,українська,,Наша Ідея,Фріжель і Флаффі. Крижане королівство. Том 4,,,
978-617-585-245-3,Дж. Ролінґ,Дітям від 12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Гаррі Поттер: Чаклунський альманах. Велике ілюстроване видання,,,2023.0
9789664669051,,Дітям 4-6 років,українська,,Пегас,Українські народні казки,,,2023.0
978-617-548-156-1,"Коутон С., Брід-Ріслі К.",Дітям від 12 років,українська,,Bookchef,П’ять ночей із Фредді. Книга 3. Четверта шафка,,,2023.0
9789667513030,,Дітям до 4-х років,українська,,Ранок,Котигорошко,,,2023.0
978-617-547-485-3,,Дітям до 4-х років,українська,,ЧП «Кристал Бук»,"Самостійний малюк. Привіт, горщик!",,,2024.0
978-966-987-100-8,,Дітям до 4-х років,українська,,ЧП «Кристал Бук»,Школа чомучки. Абетка. 100 розвивальних наліпок,,,2020.0
9789669820372,Н. Довгопол,Дітям від 12 років,українська,,Віват,Шпигунки з притулку «Артеміда». Книга 1,,,2024.0
9789667508524,І. Сонечко,Дітям до 4-х років,українська,,Ранок,Все про телятко,,,2022.0
978-966-429-821-3,"Н. Царенко, В. Федієнко",Дітям 7-12 років,українська,,ВД «Школа»,Школа почуттів,,,2023.0
978-966-993-286-0,Л. Українка,Дітям 7-12 років,українська,,Bookchef,Лісова пісня. Драма-феєрія в 3-х діях,,,2021.0
978-966-7047-36-8,Дж. К. Ролінґ,Дітям від 12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Гаррі Поттер і в’язень Азкабану. Книга 3,,,2019.0
9789667515683,,Дітям від 12 років,українська,,Ранок,Мавка. Кольорове коло. Земля,,,2024.0
978-617-548-209-4,Ф. Шойнеманн,Дітям 7-12 років,українська,,Bookchef,Пригоди кота-детектива. Книга 6: Ліцензія на виловлення мишей,,,2023.0
9786171703391,Карін-Марі Амйо,Дітям 4-6 років,українська,,Віват,Прекрасні бабусині казочки із садочка,,,2024.0
978-617-15-0282-6,Джей Ґарнетт,Дітям до 4-х років,українська,,КСД,Хто живе в зоопарку? Зазирни у віконечко,,,2024.0
9786177846184,,Дітям 4-6 років,українська,,Ранок,Щенячий Патруль. Пригодницькі розмальовки. Літаючі кошики,,,2024.0
978-966-448-151-6,,Дітям від 12 років,українська,,Видавництво Старого Лева,"501 факт, який треба знати з історії України",,,2023.0
978-966-284-495-5,,Дітям 7-12 років,українська,,УЛА,Моя Україна,,,2022.0
978-617-09-8299-5,Рік Ріордан,Дітям від 12 років,українська,,Ранок,Персі Джексон і олімпійці. Викрадач блискавок. Книга 1,,,2024.0
9789664668764,,Дітям до 4-х років,українська,,Пегас,Червона Шапочка,,,2023.0
978-966-448-172-1,Стюарт Ґіббс,Дітям 7-12 років,українська,,Видавництво Старого Лева,Шпигунська школа,,,2023.0
978-966-7047-64-1,Р. Дал,Дітям 7-12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Матильда,,,
978-966-936-256-8,,Дітям від 12 років,українська,,ЧП «Кристал Бук»,Іллюстрований атлас світу,,,2019.0
978-617-585-03-05,Г.Х. Андерсен,Дітям 7-12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Снігова королева,,,2019.0
978-617-547-489-1,,Дітям до 4-х років,українська,,ЧП «Кристал Бук»,Самостійний малюк. Чищу зуби!,,,2024.0
9786171701410,Н. Довгопол,Дітям від 12 років,українська,,Віват,Шпигунки з притулку  «Артеміда». Скарби Богині. Книга 3,,,2024.0
978-966-987-604-1,,Дітям до 4-х років,українська,,ЧП «Кристал Бук»,Школа чомучки. Розвиваємо логіку з казкою. 70 розвивальних наліпок,,,2021.0
978-966-942-711-3,Г. Мункастер,Дітям 7-12 років,українська,,Віват,Айседора Мун іде до школи,,,2019.0
978-966-935-527-0,"укл. О. Архипова, В. Архипова-Дубро",Дітям до 4-х років,українська,,Талант,Буквар для хлопчиків,,,2018.0
978-617-15-0283-3,Джей Ґарнетт,Дітям до 4-х років,українська,,КСД,Хто живе на фермі? Зазирни у віконечко,,,2024.0
978-966-935-574-4,"укл. О. Архипова, В. Архипова-Дубро",Дітям до 4-х років,українська,,Талант,Буквар для дівчаток,,,2018.0
978-617-548-125-7,"М. Міст, Т. Гуссунґ",Дітям 7-12 років,українська,,Bookchef,Маленька зла книжка. Книга 4,,,2022.0
978-617-547-326-9,,Дітям 4-6 років,українська,,ЧП «Кристал Бук»,Як перестати боятися?,,,2023.0
978-617-547-436-5,,Дітям 4-6 років,українська,,ЧП «Кристал Бук»,Як перестати сумувати?,,,2023.0
9786178253530,М. Галевська-Кустра,Дітям до 4-х років,українська,,Час Майстрів,Бодьо каже: «Добраніч!»,,,2024.0
978-617-585-168-5,,Дітям від 12 років,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Гаррі Поттер Історія магії,,,2022.0
978-617-170-231-8,,Дітям 4-6 років,українська,,Віват,У світі чарівних казок,,,2023.0
978-617-12-9620-6,Х.К. Алонсо,Дітям від 12 років,українська,,КСД,Морські тварини світу,,,2024.0
978-617-15-0022-8,Світлана Талан та Сергій Талан,Дітям 4-6 років,українська,,КСД,Чорник і Білик. Ростемо разом. Мені 5 років,,,2023.0
978-617-548-022-9,Г. Вебб,Дітям 7-12 років,українська,,Bookchef,"Вусанчик, або Сором’язливе кошеня",,,2021.0
978-966-982-650-3,Г. Мункастер,Дітям 7-12 років,українська,,Віват,Айседора Мун на шоу талантів,,,2022.0
978-617-547-278-1,,Дітям 7-12 років,українська,,ЧП «Кристал Бук»,Віршики торохтушки-лепетушки. Учимо дитину розмовляти,,,
