ISBN,Імʼя автора,Жанр книги,Мова,Мова оригіналу,Назва видавця,Назва книги,Оригінальна назва,Перекладач,Рік видання
9786177756964,Юмеджі,Комікси та манґи,українська,,Malopus,Відьомський рай. Том 3,,,2024.0
978-617-679-773-9,Т. Пратчетт,Фентезі,українська,,Видавництво Старого Лева,Ерік,,,2020.0
9786171701120,О. Кобилянська,Класична література,українська,,Віват,За ситуаціями,,,2024.0
978-617-12-7649-9,С. Талан,Сучасні автори,українська,,КСД,Де живе свобода. Книга 1,,,2020.0
978-617-523-045-9,Тейлор Дженкінс Рід,Сучасні автори,українська,,АРТБУКС,Світанок Малібу,,,2023.0
978-617-7885-82-4,,Комікси та манґи,українська,,Molfar Comics,Вовчі діти Аме та Юкі. Том 1,,,2024.0
978-617-7919-57-4,Юмеджі,Комікси та манґи,українська,,Malopus,Відьомський рай. Том 2,,,2023.0
978-617-585-219-4,Стус В.,Класична література,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Палімпсести,,,2021.0
978-617-8109-36-3,Ж-К. Дерр’єн,Комікси та манґи,українська,,Наша Ідея,Фріжель і Флаффі. Том 5. Загублений острів,,,2023.0
978-617-15-0517-9,К. Стокетт,Сучасні автори,українська,англійська,КСД,Прислуга,The Help,,2024.0
978-617-12-8131-8,Е. М. Ремарк,Класична література,українська,німецька,КСД,Тіні в раю,Schatten im Paradies,,2020.0
978-617-548-106-6,Ізабелла Мальдонадо,Детективи,українська,,Bookchef,Інший світанок,,,2022.0
978-617-548-177-6,Джеймс Роллінс,Фентезі,українська,,Bookchef,Беззоряна Корона. Падіння Місяця. Книга 1,,,2023.0
9786170981561,Ран Юлита,Комікси та манґи,українська,,Ранок,Пес Патрон і Шкарпетковий монстр,,,2023.0
978-966-948-782-7,Р. Ґалбрейт,Детективи,українська,,Видавнича група КМ-БУКС,Чорнильно-чорне серце. Книга 6,,,2023.0
978-617-15-0279-6,Д. Браун,Сучасні автори,українська,англійська,КСД,Код да Вінчі,The Da Vinci Code,,2024.0
978-617-7914-63-0,Френсіс Гардінґ,Фентезі,українська,,Nebo Booklab Publishing,Оповита тінями,,Родіон Кийко,2023.0
978-966-993-994-4,А. Тодд,Романтична проза,українська,,Форс,Найяскравіші зорі,,,2022.0
978-617-548-245-2,Т. Коул,Романтична проза,українська,,Bookchef,"О, милий доме… Книга 1",,,2024.0
978-617-12-9777-7,Т. Ґеррітсен,Трилери та жахи,українська,англійська,КСД,Убивчий холод. Книга 8,Ice Cold,,2022.0
978-966-448-055-7,Т. Пратчетт,Фентезі,українська,,Видавництво Старого Лева,Цікаві часи,,,2022.0
978-617-7409-52-5,Г. Лі,Сучасні автори,українська,,Видавнича група КМ-БУКС,Вбити пересмішника. Книга 1,,,2017.0
978-966-948-840-4,Б. Макі,Сучасні автори,українська,,Видавнича група КМ-БУКС,Як убити свою сім’ю,,,2023.0
978-617-7756-82-7,Сенбон Умішима,Комікси та манґи,українська,,Malopus,Кімнати: Колекція ілюстрацій та манґи,,,2023.0
978-966-448-209-4,М. Крижанівська,Сучасні автори,українська,,Видавництво Старого Лева,Танго з духами,,,2023.0
978-966-982-404-2,С. Дж. Маас,Фентезі,українська,,Віват,Двір крил і руїн. Книга 3,,,2021.0
978-966-448-086-1,Т. Пратчетт,Фентезі,українська,,Видавництво Старого Лева,Бери за горло,,,2022.0
978-617-523-138-8,М. Л. Ріо,Трилери та жахи,українська,,АРТБУКС,Ніби ми злодії Limited edition,,,2024.0
978-617-15-0643-5,А. Крісті,Детективи,українська,англійська,КСД,Примха мерця,,Микитюк Тетяна,2024.0
978-617-679-445-5,Т. Пратчетт,Фентезі,українська,,Видавництво Старого Лева,Правда,,,2019.0
978-617-12-7661-1,І. Франко,Класична література,українська,,КСД,Перехресні стежки,,,2020.0
978-617-8383-08-4,Сара Дж. Маас,Фентезі,українська,,Nebo Booklab Publishing,Дім Неба і Подиху. Місто Півмісяця. Книга 2,,,2024.0
978-617-12-3184-9,Т. Ґеррітсен,Трилери та жахи,українська,англійська,КСД,Асистент. Книга 2,The apprentice,І. О. Серебрякова,2017.0
978-617-664-023-3,Дж. Р. Р. Толкін,Фентезі,українська,,Астролябія,Дві вежі. Книга 2,,К. Оніщук,2022.0
978-617-8257-55-2,В. Домонтович,Класична література,українська,,Віхола,Без ґрунту. Оповідання,,,2023.0
978-617-7960-95-8,Іван Багряний,Класична література,українська,,Віхола,Сад Гетсиманський,,,2022.0
978-617-15-0095-2,Крісті А.,Детективи,українська,англійська,КСД,Оголошено вбивство,A murder is announced,Віктор Шовкун,2023.0
978-966-10-6775-1,Джеймс С. А. Корі,Фентезі,українська,,Навчальна книга Богдан,Експансія. Кн. 4. На згарищі Сіболи,,,2023.0
978-617-12-9752-4,Е.М. Ремарк,Класична література,українська,німецька,КСД,Час жити і час помирати,Zeit zu leben und Zeit zu sterben.,,2022.0
978-617-15-0061-7,Гарріс Дж.,Сучасні автори,українська,англійська,КСД,Льодяникові черевички. Книга 2,The Lollipop Shoes,,2023.0
978-617-8024-27-7,С. Жадан,Сучасні автори,українська,,"Книги – ХХІ, Чорні Вівці",Антена,,,2018.0
978-617-522-253-9,М. Фінкель,Сучасні автори,українська,,Ще одну сторінку,Мистецький злодій,,,2024.0
978617-8109-74-5,Шіро Куроі,Комікси та манґи,українська,,Наша Ідея,Левіафан. Том 3,,,2024.0
978-966-679-983-1,Райлі Сейґер,Сучасні автори,українська,,Видавництво Старого Лева,Останні дівчата,,,2021.0
978-966-993-557-1,О. Гакслі,Сучасні автори,українська,,Bookchef,Який чудесний світ новий!,,,2021.0
9786170982827,М. Маєр,Фентезі,українська,,Ранок,Хроніки Місяця. Кресс,,,2023.0
978-617-15-0631-2,П. Скай,Романтична проза,українська,англійська,КСД,Ґудзики та ненависть. Книга 2,Buttons and Hate,Андрій Яремчук,2024.0
978-617-15-0531-5,А. Крісті,Детективи,українська,англійська,КСД,Таємнича пригода в Стайлзі,The mysterious affair at styles,,2024.0
978-617-7885-49-7,,Комікси та манґи,українська,,Molfar Comics,Книга магії з Нуля. Книга 3,,,2023.0
978-617-15-0623-7,Рейвен Кеннеді,Фентезі,українська,англійська,КСД,Відблиск. Книга 2,Glint,Гриценко Наталія,2024.0
9786178362201,В. Герцоґ,Історична та пригодницька проза,українська,,Лабораторія,Сутінки світу,,,2024.0
978-966-10-8741-4,Р. Желязни,Фантастика,українська,,Навчальна книга Богдан,Острів мертвих,,,2023.0
978-617-8023-09-6,Ребекка Кван,Фентезі,українська,англійська,Жорж,Республіка Дракона. Книга 2,The Dragon Republic,,2023.0
978-617-7678-88-4,Юкімура М.,Комікси та манґи,українська,,Наша Ідея,Сага про Вінланд. Том 1,,,2022.0
9786177756957,Шін’ічі Фукуда,Комікси та манґи,українська,,Malopus,Ця порцелянова лялечка закохалася. Том 4,,,2024.0
978-617-629-833-5,А. Дж. Кронін,Сучасні автори,українська,,Апріорі,Замок капелюшника,,,2024.0
978-617-7782-04-8,"П. Тобін, Дж. Куеріо",Комікси та манґи,українська,,Vovkulaka,Відьмак. Лисячі діти,,,2023.0
978-617-548-211-7,Трейсі Вульф,Фентезі,українська,,Bookchef,Жага. Книга 2: Опір,,,2023.0
978-617-12-3925-8,А. Азімов,Фантастика,українська,англійська,КСД,Друга Фундація. Книга 3,Second Foundation,Р. В. Клочко,2017.0
978-617-629-588-4,Іван Багряний,Класична література,українська,,Апріорі,Тигролови,,,2022.0
978-966-982-945-0,Сара Дж. Маас,Фентезі,українська,,Віват,Двір холоду і зоряного сяйва. Книга 4,,,2022.0
978-617-12-8084-7,А. Крісті,Детективи,українська,англійська,КСД,Наприкінці приходить смерть,Death Comes As the End,Ю.В. Максимейко,2020.0
978-617-679-712-8,Е. Ґілберт,Сучасні автори,українська,,Видавництво Старого Лева,Місто дівчат,,,2020.0
978-617-12-5877-8,В. Лис,Сучасні автори,українська,,КСД,Обітниця,,,2019.0
978-617-7818-66-2,Еліс Осман,Сучасні автори,українська,,Видавництво,Коли завмирає серце. Книга 3,,,2023.0
978-617-7914-68-5,Себастьян де Кастелл,Фентезі,українська,,Nebo Booklab Publishing,Творець заклинань,,Підгорна Юлія,2023.0
978-617-7885-78-7,,Комікси та манґи,українська,,Molfar Comics,Наречена чаклуна. Том 3,,,2024.0
978-617-548-098-4,Карлі Енн Вест,Детективи,українська,,Bookchef,"Привіт, сусіде. Книга 1: Втрачені деталі",,,2022.0
978-617-585-259-0,М. Матіос,Сучасні автори,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Мами,,,2023.0
978-617-8248-86-4,Ш. Мег’юрін,Фентезі,українська,,Видавництво РМ,Змія і Голуб. Книга 1,,,
978-966-948-869-5,М. Стівотер,Фентезі,українська,,Видавнича група КМ-БУКС,Вічність. Книга 3,,,2024.0
978-617-12-9584-1,Н. Гуменюк,Сучасні автори,українська,,КСД,"Та, що ламає вітер",,,2022.0
978-617-15-0644-2,О. Калина,Сучасні автори,українська,,КСД,Батерфляй,,,2024.0
978-966-942-951-3,А. Майклідіс,Сучасні автори,українська,,Віват,Мовчазна пацієнтка,,,2019.0
978-617-12-9586-5,Дж. Мойєс,Романтична проза,українська,англійська,КСД,Вілла нашого кохання,Foreign Fruit,ФОП Д. В. Петрушенко,2022.0
978-617-12-8920-8,Е. Одрейн,Трилери та жахи,українська,англійська,КСД,Що не так з моєю матір’ю,The Push,О. О. Гординчук,2021.0
978-617-12-8888-1,Дж. Мойєс,Романтична проза,українська,англійська,КСД,Щасливі кроки під дощем,Sheltering Rain,ФОП Петрушенко Д. В.,2021.0
978-966-982-085-3,М. Міллер,Історична та пригодницька проза,українська,,Віват,Цирцея,,,2020.0
978-617-12-2260-1,Н. Гурницька,Сучасні автори,українська,,КСД,Мелодія кави в тональності сподівання. Книга 2,,,2016.0
978-617-7818-85-3,Е. Осман,Сучасні автори,українська,,Видавництво,Народитися для цього,,,2024.0
978-617-15-0647-3,Донато Каррізі,Детективи,українська,італійська,КСД,Нашіптувач. Книга 1,Il suggeritore,Котляр Любов,2024.0
978-617-7885-51-0,Ґрем Майк-Нілл,Фентезі,українська,,Molfar Comics,Warhammer 40.000 – Ночевісник. Кн.1,,,2023.0
978-617-15-0703-6,Е. М. Ремарк,Класична література,українська,німецька,КСД,Станція на горизонті,Station am Horizont,Даскал Єлена,2024.0
978-617-15-0387-8,Дж. Гарріс,Сучасні автори,українська,англійська,КСД,Крадійка суниць. Книга 4,The Strawberry Thief,Петрушенко Д. В.,2023.0
978-617-09-8084-7,Б. Корнвелл,Історична та пригодницька проза,українська,,Ранок,Володарі півночі. Книга 3,,,2023.0
9786177960941,В. Винниченко,Класична література,українська,,Віхола,Записки кирпатого Мефістофеля,,,2023.0
978-617-679-670-1,Фоззі,Сучасні автори,українська,,Видавництво Старого Лева,Червоні хащі,,,2024.0
978-617-12-9595-7,А. Фінлі,Детективи,українська,англійська,КСД,Останній страх,Every Last Fear,Л. І. Котляр,2022.0
978-617-679-940-5,Ж. Діккер,Трилери та жахи,українська,,Видавництво Старого Лева,Загадка кімнати 622,,Леонід Кононович,2021.0
978-617-8373-12-2,Крістін Генна,Сучасні автори,українська,,Видавництво РМ,Чотири вітри,,,2024.0
978-617-15-0513-1,А. Крісті,Детективи,українська,англійська,КСД,Кривий будиночок,Crooked House,"Пітик Катерина, Пітик Анатолій",2024.0
978-966-982-834-7,Антоніо Ітурбе,Історична та пригодницька проза,українська,,Віват,Бібліотекарка з Аушвіцу,,,2023.0
978-617-09-7414-3,Б. Корнвелл,Історична та пригодницька проза,українська,,Ранок,Блідий вершник. Книга 2,,,2022.0
978-617-12-7129-6,Е. М. Ремарк,Класична література,українська,німецька,КСД,Ніч у Лісабоні,Die Nacht von Lissabon,,
978-966-448-080-9,Данило Клочко,Сучасні автори,українська,,Видавництво Старого Лева,Андрофаги,,,2023.0
978-966-948-785-8,Флінн Ґ.,Детективи,українська,,Видавнича група КМ-БУКС,Загублена,,,2023.0
9789669829047,Каур Рупі,Сучасні автори,українська,,Віват,"Тіло, мій дім",,"Ірена Карпа, Ангеліна Будяк",2024.0
978-966-448-230-8,Т. Пратчетт,Фентезі,українська,,Видавництво Старого Лева,Зимар,,,2023.0
978-617-548-006-9,Марк Твен,Дітям від 12 років,українська,,Bookchef,Пригоди Тома Соєра,,,2022.0
978-617-7914-24-1,А. Новік,Фентезі,українська,,Nebo Booklab Publishing,Медальйон трьох змій,,,2023.0
978-966-448-259-9,Т. Пратчетт,Фентезі,українська,,Видавництво Старого Лева,Боженята,,,2023.0
978-966-948-790-2,"Н. Ґейман, Т. Пратчетт",Фентезі,українська,,Видавнича група КМ-БУКС,"Добрі передвісники: ґрунтовні й вичерпні пророцтва Агнеси Оглашенної, відьми (кінообкладинка, чорна+біла обкладинки)",,,2023.0
978-617-629-730-7,А. Дж. Кронін,Романтична проза,українська,,Апріорі,Цитадель,,,2021.0
978-617-522-172-3,Я. Литвин,Сучасні автори,українська,,Фабула,Вілла у Сан-Фурсиско,,,2024.0
978-617-12-8182-0,Д. Сеттерфілд,Сучасні автори,українська,англійська,КСД,"Там, у темній річці",Once upon a river,Д. А. Москвітіна,2020.0
978-617-8373-10-8,С. Чбоскі,Дітям від 12 років,українська,,Рідна мова,Уявний друг,,,2021.0
978-617-15-0102-7,Стівен Кінг,Фентезі,українська,англійська,КСД,Під куполом,Under the Dome,Олександр Красюк,2023.0
978-617-15-0190-4,Крісті А.,Детективи,українська,англійська,КСД,Німий свідок,Dumb Witness,Третякова Наталія,2023.0
978-617-12-9940-5,Е. М. Ремарк,Класична література,українська,німецька,КСД,Люби ближнього твого,Liebe Deinen Nächsten,"Микола Дятленко, Аркадій Плют",2023.0
978-966-448-059-5,К. Райдер,Романтична проза,українська,,Видавництво Старого Лева,Поцілунок у Парижі,,,2022.0
978-617-12-9821-7,Джейсон Рекулак,Сучасні автори,українська,,КСД,Приховані малюнки,,,2022.0
978-617-679-882-8,Т. Пратчетт,Фентезі,українська,,Видавництво Старого Лева,Крадій часу,,,2021.0
978-617-523-201-9,К. Сіттенфельд,Романтична проза,українська,,АРТБУКС,Романтична комедія,,,2024.0
978-617-679-726-5,Т. Пратчетт,Фентезі,українська,,Видавництво Старого Лева,Душевна музика,,,2019.0
978-617-15-0612-1,Д. Браун,Сучасні автори,українська,англійська,КСД,Втрачений символ,The Lost Symbol,,2024.0
978-617-12-6303-1,М. Коцюбинський,Класична література,українська,,КСД,Тіні забутих предків,,,2020.0
978-617-7782-29-1,"К. Банн, М. Вальдеррама",Комікси та манґи,українська,,Vovkulaka,Cyberpunk 2077. «Травма Тім»,,,2023.0
978-617-8107-78-9,,Сучасні автори,українська,,Якабу Паблішинг,Таємна пригода… Антологія української еротичної прози порубіжжя ХІХ–ХХ ст.,,,2023.0
978-617-7782-40-6,А. Мотика та ін.,Комікси та манґи,українська,,Vovkulaka,Cyberpunk 2077. Твій Голос,,,2023.0
978-966-993-717-9,В. С. Моем,Класична література,українська,,Форс,Розмальована вуаль,,,2022.0
978-966-448-123-3,Жадан С.,Сучасні автори,українська,,Видавництво Старого Лева,30 віршів про любов і залізницю,,,2023.0
978-617-15-0650-3,Одрі Ніффенеґґер,Сучасні автори,українська,,КСД,Дружина мандрівника в часі,,,2024.0
978-966-948-340-9,Джордж Р.Р. Мартін,Фентезі,українська,,Видавнича група КМ-БУКС,Буря мечів.  Пісня льоду й полум’я. Книга 3,,,2019.0
978-617-12-8922-2,Р. Гобб,Фентезі,українська,англійська,КСД,Мандри убивці. Assassin 3,Assassin’s Quest,Н. М. Михайловська,2021.0
978-617-15-0394-6,Денні Кінг,Детективи,українська,англійська,КСД,Щоденник кілера,The Hitman Diaries,Вдовенко В. В.,2023.0
978-966-942-282-8,Л. Бардуго,Фентезі,українська,,Віват,Королівство шахраїв,,,2020.0
978-617-15-0641-1,Ю. Даценко,Детективи,українська,,КСД,Останні години,,,2024.0
978-617-170-143-4,Крістелль Дабос,Фентезі,українська,,Віват,Крізь дзеркала. Викрадені з Місяцесяйва. Книга 2,,,2023.0
978-617-8109-05-9,Ідзумі Міцу,Комікси та манґи,українська,,Наша Ідея,"Чарівник Бібліотеки, Том 2",,,2023.0
978-617-8396-06-0,М. Канешіро,Комікси та манґи,українська,,Наша Ідея,Синя тюрма. Том 3,,,2024.0
978-617-8109-84-4,Шінґо Хонда,Комікси та манґи,українська,,Наша Ідея,"Happy Land, том 2",,,2023.0
978-617-12-8120-2,Л. Гунель,Сучасні автори,українська,французька,КСД,"Людина, що хотіла бути щасливою",L’homme qui voulait etre heureux,Ю. Д. Кузьменко,2020.0
978-617-548-247-6,Кейм МакДоннелл,Трилери та жахи,українська,,Bookchef,Цей химерний світ. Книга 1,,,2024.0
978-617-8012-25-0,Ф. Бакман,Сучасні автори,українська,,Книголав,Переможці,,,2023.0
978-966-982-775-3,Н. Спаркс,Романтична проза,українська,,Віват,Повернення,,,2022.0
978-617-7678-69-3,Н. Масаакі,Комікси та манґи,українська,,Наша Ідея,Ґаннібал. Том 1,,,2021.0
978-617-679-855-2,Є. Кузнєцова,Сучасні автори,українська,,Видавництво Старого Лева,Спитайте Мієчку,,,2021.0
978-966-10-6682-2,Джеймс С. А. Корі,Фантастика,українська,,Навчальна книга Богдан,Експансія. Книга 2. Війна Калібана,,,2021.0
978-617-7885-47-3,Ден Абнетт,Фентезі,українська,,Molfar Comics,Warhammer 40.000 – Ксенос. Кн.1,,,2023.0
978-617-8280-44-4,Р. Веа,Сучасні автори,українська,,Видавництво РМ,Смерть місис Вестевей,,,2023.0
978-617-7782-30-7,"Рафал Які, Хатая",Комікси та манґи,українська,,Vovkulaka,Відьмак. Ронін,,,2023.0
978-966-982-927-6,Сара Джіо,Романтична проза,українська,,Віват,З Лондона з любов’ю,,,2023.0
978-617-548-097-7,"С. Коутон, К. Брід-Ріслі",Фантастика,українська,,Bookchef,П’ять ночей із Фредді. Срібні очі. Книга 1,,,2022.0
978-617-15-0192-8,А. Крісті,Детективи,українська,англійська,КСД,Убивства за абеткою,The ABC murders,,2023.0
978-966-982-808-8,Н. Спаркс,Романтична проза,українська,,Віват,Записник. Сторінки нашого кохання,,,2022.0
978-617-098-207-0,Сара Дессен,Сучасні автори,українська,,Ранок,Пісня для тебе,,,2023.0
978-617-7914-69-2,Джо Аберкромбі,Фентезі,українська,,Nebo Booklab Publishing,"Пів світу, кн.2",,,2023.0
978-617-15-0619-0,Д. Браун,Сучасні автори,українська,англійська,КСД,Точка обману,Deception Point,,2024.0
978-617-548-149-3,В. Шекспір,Класична література,українська,,Bookchef,Ромео і Джульєтта,,,2023.0
978-617-7756-90-2,Яна Тобосо,Комікси та манґи,українська,,Malopus,Темний дворецький. Том 1,,,2024.0
9786170970374,Марі Раткоські,Фентезі,українська,,Ранок,Поцілунок переможця. Книга 3,,,2022.0
978-617-15-0176-8,Кемерон Б.,Сучасні автори,українська,англійська,КСД,З любов’ю від Кленсі. Щоденник хорошого собаки,"Love, Clancy: Diary of a Good Dog",Олександра Фурса,2023.0
978-617-12-9861-3,Д. Кіз,Сучасні автори,українська,,КСД,Квіти для Елджернона,,,2022.0
978-617-8396-13-8,С. Морішіта,Комікси та манґи,українська,,Наша Ідея,Кохання на кінчиках пальців. Том 7,,,2024.0
978-617-7756-88-9,Шін’ічі Фукуда,Комікси та манґи,українська,,Malopus,Ця порцелянова лялечка закохалася. Том 1,,,
978-617-15-0273-4,Р. Осман,Детективи,українська,англійська,КСД,"Куля, що не влучила",The Bullet that missed,Ракуленко Віталій,2023.0
978-617-12-8350-3,А. Сапковський,Фентезі,українська,,КСД,Відьмак. Кров ельфів. Книга 3,,,
978-617-15-0618-3,Д. Браун,Сучасні автори,українська,англійська,КСД,Інферно,Inferno,,2024.0
978-966-942-856-1,К. Гувер,Сучасні автори,українська,,Віват,Без Меріт,,,2020.0
978-617-15-0023-5,Г. Селбі-мол.,Сучасні автори,українська,англійська,КСД,Реквієм по мрії,Requiem for a Dream,,2023.0
978-617-12-8930-7,С. Кінг,Фантастика,українська,англійська,КСД,"Та, що породжує вогонь (Палійка)",Firestarter,А. П. Рогоза,2021.0
978-966-679-982-4,К. О’Доног’ю,Романтична проза,українська,,Видавництво Старого Лева,Наші приховані дари. Книга 1,,,
978-966-448-260-5,О. Чернінька,Сучасні автори,українська,,Видавництво Старого Лева,"Лемберґ: мамцю, ну не плач",,,2024.0
978-617-585-195-1,М. Матіос,Сучасні автори,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Солодка Даруся,,,2020.0
978-617-17-0284-4,М. Бюссі,Сучасні автори,українська,,Віват,Чорні водяні лілії,,,2023.0
978-617-8383-03-9,Р. Лебовскі,Фентезі,українська,,Nebo Booklab Publishing,Попіл і Місячне Сяйво. Книга 3,,,2024.0
978-966-948-602-8,Дж. Грін,Сучасні автори,українська,,Видавнича група КМ-БУКС,Провина зірок,,,2022.0
978-617-7885-67-1,,Комікси та манґи,українська,,Molfar Comics,Книга магії з Нуля. Книга 4,,,2023.0
978-617-585-035-0,Л. Костенко,Сучасні автори,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Триста поезій,,,2014.0
978-617-8383-15-2,Себастьян де Кастелл,Фентезі,українська,,Nebo Booklab Publishing,Чорна тінь,,Підгорна Юлія,2024.0
978-617-585-116-6,укл. І. Малкович,Сучасні автори,українська,,А-БА-БА-ГА-ЛА-МА-ГА,Антологія української поезії ХХ століття: від Тичини до Жадана,,,2017.0
978-617-12-8135-6,А. Крісті,Детективи,українська,англійська,КСД,Убивство в Месопотамії,Murder in Mesopotamia,А. О. Івахненко,2020.0
978-617-8280-63-5,С. Кларк,Фентезі,українська,,Видавництво РМ,Джонатан Стрейндж і м-р Норрелл,,,2023.0
978-617-15-0620-6,Д. Браун,Сучасні автори,українська,англійська,КСД,Цифрова фортеця,Digital fortress,,2024.0
978-617-12-6297-3,О. Кобилянська,Класична література,українська,,КСД,Земля,,,2019.0
978-617-15-0724-1,Дж. Л. Арментраут,Романтична проза,українська,англійська,КСД,Спокушаючи шафера. Книга 1,Tempting the Best Man,Чучман Марта,2024.0
978-617-12-7636-9,А. Крісті,Детективи,українська,англійська,КСД,Останній сеанс,The Last Seance,Л. С. Яким,2020.0
978-617-12-5064-2,С. Кінг,Фентезі,українська,англійська,КСД,Аутсайдер,The Outsider,А. П. Рогоза,2019.0
978-617-15-0167-6,Д. Браун,Сучасні автори,українська,англійська,КСД,Янголи і демони,Angels and Demons,,2024.0
9786171700307,Дж. Куїнн,Романтична проза,українська,,Віват,Бріджертони. Пропозиція джентльмена,,,2024.0
978-617-15-0789-0,Д. Валентайн,Детективи,українська,англійська,КСД,При надії,Delicate Condition,Петрушенко Дар’я,2024.0
978-617-7678-97-6,Юкімура М.,Комікси та манґи,українська,,Наша Ідея,Сага про Вінланд. Том 2,,,2022.0
978-617-17-0055-0,Д. Чемберлен,Сучасні автори,українська,,Віват,Омріяна донька,,,2023.0
978-617-15-0499-8,А. Крісті,Детективи,українська,англійська,КСД,Убивство - це легко,Murder is easy,Недзеленко Аліна,2024.0
978-617-170-010-9,Алі Гейзелвуд,Романтична проза,українська,,Віват,Гіпотеза кохання,,,2023.0
978-617-12-8455-5,С. Кінг,Фентезі,українська,англійська,КСД,"Протистояння. т. 1, т. 2",The Stand,"Г. Яновська, С. Крикун",2023.0
978-617-12-9596-4,К. Джонстоун,Детективи,українська,англійська,КСД,Задзеркалля,Mirrorland,А. П. Рогоза,
978-617-7914-23-4,Ш. Бронте,Класична література,українська,,Nebo Booklab Publishing,Джейн Ейр,,,2023.0
