Імʼя автора;Назва книги;Мова;Перекладач;Мова оригіналу;Оригінальна назва;Назва видавця;Рік видання;ISBN;Жанр книги
Стюарт Рассел;Сумісний з людиною. Штучний інтелект і проблема контролю;Українська;Вікторія Зенгва;;;Book Chef;2020;978-966-993-502-1;Технології та інтернет
Чарльз Буковскі;З нотатника у винних плямах;Українська;Геник Беляков;;;Book Chef;2022;978-966-993-394-2;Антології та коротка проза
Роберт Бриндза;Дівчина у кризі;Українська;Ганна Литвиненко;;;Book Chef;2020;978-966-993-389-8;Детективи та трилери
Хіґасіда Наокі;Чому я стрибаю. Внутрішній світ хлопчика з аутизмом;Українська;Лілія Яким;;;Book Chef;2022;978-966-993-387-4;Мемуари. Біографії. Листування
Сара Фрієр;Без фільтрів. Інсайдерська історія Instagram;Українська;Ольга Бершадська;;;Book Chef;2020;978-966-993-380-5;Історії бізнесів та бізнесменів
Андре Асіман;Знайди мене;Українська;Єлена Даскал;;;Book Chef;2020;978-966-993-298-3;Сучасна світова проза
Мона Кастен;Врятуй мене;Українська;Марія Вачко;;;Book Chef;2020;978-966-993-295-2;Сучасна світова проза
Джей Шетті;Думай, як чернець. Посібник з досягнення внутрішньої гармонії;Українська;Ірина Павленко;;;Book Chef;2020;978-966-993-294-5;Релігія. Езотерика
Роберт Матзен;Дівчина з Нідерландів. Одрі Гепберн і Друга світова війна;Українська;Олена Замойська;;;Book Chef;2020;978-966-993-292-1;Мемуари. Біографії. Листування
Тері Террі;Темна матерія. Зараження;Українська;Юлія Підгорна;;;Book Chef;2020;978-966-993-290-7;Фантастика
Елтон Джон;Я. Елтон Джон;Українська;Вікторія Пушина;;;Book Chef;2020;978-966-993-289-1;Мемуари. Біографії. Листування
Джуліан Ґоф;Ведмедиця і кролик. Здобич бігцем утрапить в сільце;Українська;Ангеліна Колодніцька;;;Book Chef;2020;978-966-993-284-6;Дитяча проза
Катя Брандіс;Діти лісу. Таємниця Голлі;Українська;Марія Пухлій;;;Book Chef;2020;978-966-993-277-8;Підліткова література
Донна Джексон Наказава;Янголи чи вбивці? Клітини, які змінюють медицину;Українська;Леся Бідочко;;The Angel and the Assassin: The Tiny Brain Cell That Changed the Course of Medicine;Book Chef;2023;978-966-993-276-1;Здоров'я та медицина
Кен Лю;Прихована дівчина та інші оповідання;Українська;Євген Ширинос;;;Book Chef;2021;978-966-993-275-4;Сучасна світова проза
Джошуа Д. Мезріч;Коли смерть дарує життя. Нотатки хірурга-трансплантолога;Українська;Анна Дученко;;;Book Chef;2020;978-966-993-273-0;Сучасна світова проза
Стів Пітерс;Парадокс Шимпанзе. Менеджмент розуму;Українська;Ірина Павленко;;;Book Chef;2020;978-966-993-269-3;Менеджмент та лідерство
Кністер;Чаклунка Лілі та магічний переполох;Українська;Ангеліна Колодніцька;;;Book Chef;2020;978-966-993-267-9;Дитяча проза
Кністер;Чаклунка Лілі перевертає школу догори дриґом;Українська;Ангеліна Колодніцька;;;Book Chef;2020;978-966-993-266-2;Дитяча проза
Мішель Фройд;Примирення душі й тіла. 40 простих вправ за методом софрології;Українська;Зоя Борисюк;;;Book Chef;2021;978-966-993-258-7;Психологія та стосунки
Роберт Айгер;Мандрівка тривалістю в життя;Українська;Юлія Григоренко;;;Book Chef;2020;978-966-993-254-9;Мистецтво, мода та фотографія
Катя Брандіс;Діти лісу. Небезпечна дружба;Українська;Марія Пухлій;;;Book Chef;2020;978-966-993-253-2;Підліткова література
Катя Брандіс;Діти лісу. Перетворення Карґа;Українська;Марія Пухлій;;;Book Chef;2020;978-966-993-252-5;Дитяча проза
Тімур Ворона;Дмитро Дубілет. Бізнес на здоровому глузді. 50 ідей, як домогтися свого;Українська;Ірина Демчук;;;Book Chef;2020;978-966-993-251-8;Мемуари. Біографії. Листування
Гел Ґреґерсен;Змінюй питання - Знаходь відповіді. Генеруй інновації та знаходь рішення;Українська;Оксана Дятел;;;Book Chef;2020;978-966-993-249-5;Мотивація
Кай-Фу Лі;AI. Наддержави штучного інтелекту. Китай, Кремнієва долина і новий світовий лад;Українська;В'ячеслав Пунько;;;Book Chef;2020;978-966-993-248-8;Технології та інтернет
Роберт Діленшнайдер;Рішення. Практичні поради від 23 людей, які змінили світ;Українська;Ольга Бершадська;;;Book Chef;2020;978-966-993-246-4;Історії бізнесів та бізнесменів
;Воскресни за 40 днів;Українська;Федір Невтішний;;;Book Chef;2020;978-966-993-241-9;Сучасна світова проза
Гері Чепмен;Збудуй міцну сім'ю. Покрокова інструкція;Українська;Адам Лозевич, Анна Оксентюк;;;Book Chef;2020;978-966-993-229-7;Психологія та стосунки
Голлі Вебб;Детектив Мейзі Хітчінз, або Справа про русалку, яка плаче;Українська;Юлія Підгорна;;;Book Chef;2020;978-966-993-225-9;Детективи й жахи для дітей і підлітків
Голлі Вебб;Детектив Мейзі Хітчінз, або Справа про сліпого жука;Українська;Юлія Підгорна;;;Book Chef;2020;978-966-993-222-8;Детективи й жахи для дітей і підлітків
Крістал Сазерленд;Наші хімічні серця;Українська;Юлія Підгорна;;;Book Chef;2020;978-966-993-220-4;Сучасна світова проза
Стів Андерсон;Листи Безоса;Українська;Ангеліна Колодніцька;;;Book Chef;2020;978-966-993-213-6;Мемуари. Біографії. Листування
Едріан Беслі;BTS. Ідеальний фан-бук;Українська;;;;Book Chef;2019;978-966-993-205-1;Музика
Роберт Шеклі;Цивілізація статуса;Українська;Ольга Бершадська;;;Book Chef;2020;978-966-993-202-0;Романи
Пол Парсонс;Наука за 30 секунд. Теорії;Українська;Катерина Дем'янчук;;;Book Chef;2020;978-966-993-004-0;Технології та інтернет
Сергій Жадан;Contemporary Ukrainian Prose & Poetry;Українська;;;;VOGUE UA;2023;978-966-986-532-8;Антології та коротка проза
Бенджамін Стівенсон;Усі в моїй родині - вбивці;Українська;Анна Цвіра;;Everyone in My Family Has Killed Someone;Vivat;2023;978-966-982-995-5;Детективи та трилери
Крістен Гелмстеттер;Розмова із самим собою за чашкою кави. П’ять хвилин на день, з яких розпочнеться щасливе життя;Українська;;;Talking to yourself over a cup of coffee. Five minutes a day, from which a happy life will begin;Vivat;2023;978-966-982-972-6;Психологія та стосунки
Тана Френч;У лісі;Українська;Остап Гладкий;;;Vivat;2022;978-966-982-953-5;Детективи та трилери
Ольга Пилипенко;Абетка в казках;Українська;;;;Vivat;2022;978-966-982-949-8;Книги для найменших
Джеб Блаунт;"Продано! Перемови, укладання угод і отримання ""так""";Українська;Анна Цвіра;;;Vivat;2022;978-966-982-938-2;Продажі
;COLOR ZEN. Ловець снів;Українська;;;;Vivat;2022;978-966-982-815-6;Література для навчання та розвитку
Оксана Шахова;Сила HR. Як досягати цілей бізнесу;Українська;;;The power of HR. How to achieve business goals;Vivat;2021;978-966-982-690-9;Мотивація
Джилл Хессон;Як завжди стояти на своєму;Українська;Дмитро Кожедуб;;As always stand your ground;Vivat;2022;978-966-982-683-1;Психологія та стосунки
Леона Мільтон;Опануй себе;Українська;М.Никончук;;Get over yourself;Vivat;2022;978-966-982-525-4;Психологія та стосунки
Уілл Дюрант;Уроки історії. Огляд історії людства як продукту людського досвіду;Українська;Ганна Пшенична;;;Vivat;2022;978-966-982-519-3;Світова історія
Артем Захарченко;Помру за Україну (але це не точно);Українська;;;;Vivat;2021;978-966-982-406-6;Історична проза
Кортні Макавінта;Повага. Як діяти, коли зазіхають на твої особисті кордони;Українська;;;;Vivat;2022;978-966-982-385-4;Психологія та стосунки
Ольга Павленко;Абетка;Українська;;;;Vivat;2022;978-966-982-350-2;Навчальні посібники
Джон Готтман;Емоційний інтелект у дитини;Українська;;;Emotional intelligence in a child;Vivat;2022;978-966-982-340-3;Книги для батьків
Кетрін Ранделл;Підкорювачі дахів;Українська;;;;Vivat;2022;978-966-982-320-5;Підліткова література
Адріанна Станішевська;Як навчити дитину грати в шахи;Українська;;;;Vivat;2023;978-966-982-316-8;Хобі та дозвілля
Катя Фріксе;"Чарівна ""Книгарня бажань"". Зірковий Гаррі";Українська;;;;Vivat;2020;978-966-982-314-4;Підліткова література
Бет Сільверс;Вважаю, що ви помиляєтесь (проте слухаю);Українська;Вікторія Ярмольчук;;;Vivat;2020;978-966-982-298-7;Менеджмент та лідерство
Євген Харук;Мандрівка пана Будяка;Українська;;;;Vivat;2021;978-966-982-291-8;Фантастика та фентезі для дітей
Кевін Сімлер;Знайди слона. Залаштунки повсякденного життя розуму;Українська;;;;Vivat;2021;978-966-982-277-2;Здоров'я та медицина
Дара Корній;Троян-зілля;Українська;;;;Vivat;2021;978-966-982-268-0;Сучасна українська проза
Крістофер Едж;Як #писати і не лажати;Українська;;;;Vivat;2020;978-966-982-249-9;Підліткова література
Майкл Ондатже;Світло війни;Українська;;;;Vivat;2020;978-966-982-215-4;Історична проза
Ніна Хундершні;Олівець професора Плюмбума. Серед риб!;Українська;;;;Vivat;2020;978-966-982-176-8;Література для навчання та розвитку
Джордж Сорос;На захист відкритого суспільства;Українська;Ігор Возняк;;;Vivat;2021;978-966-982-172-0;Світова історія
Урсель Шеффлер;Ойко з планети Танехай;Українська;;;;Vivat;2020;978-966-982-153-9;Фантастика та фентезі для дітей
Зінаїда Васіна;Еволюція українського вбрання. Сторінки історії;Українська;;;;Vivat;2022;978-966-982-137-9;Мистецтво, мода та фотографія
Гай Кавасакі;Мистецтво змінювання сердець, умів, дій. шлях зачарування в бізнесі;Українська;;;The Art of Changing Hearts and Minds: The Way to Enchant Business;Vivat;2020;978-966-982-136-2;Мотивація
Емілі Гіффін;Усе чого ми бажали;Українська;Наталія Савчук;;;Vivat;2019;978-966-982-060-0;Сучасна світова проза
Таня Поставна;Коли я була лисицею;Українська;;;;Vivat;2019;978-966-982-042-6;Фантастика та фентезі для дітей
Джефф Ґоїнс;Справжні митці не голодують найсучасніші стратегії досягнення успіху;Українська;;;Real artists do not starve themselves of the most modern strategies for achieving success;Vivat;2019;978-966-982-004-4;Мотивація
Антін Мухарський;Кістяк з Чорнобиля;Українська;;;Bone from Chernobyl;ТУТ;2022;978-966-97977-8-0;Підліткова література
Олексій Декань;Кайдашева сім'я проти зомбі;Українська;;;Kaidash family against zombies;ТУТ;2021;978-966-97977-5-9;Комікси
Роман Крижанівський;Герой Горобець. Банди Нью-Йорка. Том 2;Українська;;;The hero is a sparrow. Gangs of New York. Volume 2;ТУТ;2021;978-966-97977-2-8;Комікси для дітей і підлітків
Роман Крижанівський;Тірольський троль. Повернення в місто;Українська;;;Tyrolean troll. Return to the city. Volume 1;ТУТ;2021;978-966-97977-0-4;Комікси для дітей і підлітків
Рус Лаґеркранц;Найкращий подарунок;Українська;;;The best gift;Крокус;2020;978-966-97972-9-2;Казки
Рус Лаґеркранц;Побачимось, коли вийде;Українська;;;See you when it comes out;Крокус;2020;978-966-97972-7-8;Дитяча проза
Марія Парр;Тоня Ґліммердал;Українська;;;Tonya Glimmerdal;Крокус;2020;978-966-97972-4-7;Дитяча проза
Леві Генріксен;Ангел у Пащі Диявола;Українська;Володимир Криницький;;Angel in the Devil's Mouth;Крокус;2020;978-966-97972-2-3;Детективи й жахи для дітей і підлітків
Крістіна Андрес;Даня та її клопоти;Українська;Галина Кирпа;;Danya and her troubles;Крокус;2020;978-966-97972-1-6;Дитяча проза
Рус Лаґеркранц;Яка ж я була щаслива;Українська;;;How happy I was;Крокус;2020;978-966-97972-0-9;Дитяча проза
Ольга Кобилянська;Царівна;Українська;;;;Pabulum;2023;978-966-97971-9-3;Класична українська проза
Ростислав Семків;Уроки короля жахів. Як писати горор;Українська;;;;Pabulum;2020;978-966-97971-4-8;Письменництво та журналістика
Хільде Естбю;Углиб за морським коником. Книжка про пам'ять, яка запам'ятається;Українська;Софія Волковецька;;;Pabulum;2020;978-966-97971-3-1;Психологія та стосунки
Керолайн Непп;Випивка. Історія однієї любові;Українська;Галина Курило;;Drinking. A Love Story;Pabulum;2020;978-966-97971-2-4;Мемуари. Біографії. Листування
Тарас Прохасько;Сотворіння світу. Сім днів із Тарасом Прохаськом;Українська;;;;Pabulum;2020;978-966-97971-1-7;Мемуари. Біографії. Листування
Мустафа Найєм;Двобій за правду. Правила інтерв'ю Мустафи Найєма;Українська;;;;Pabulum;2019;978-966-97971-0-0;Письменництво та журналістика
Роман Тодер;«Висока» кухня, або в горах їстимуть добре;Українська;;;;їzhak;2020;978-966-97950-2-1;Їжа та напої
Manuro;Фокус і Покус;Українська;Елла Євтушенко;;;BAIKY;2019;978-966-97943-3-8;Комікси для дітей і підлітків
Shuky;Лицарі;Українська;Денис Скорбатюк;;;BAIKY;2020;978-966-97943-2-2;Комікси для дітей і підлітків
CED;Шерлок Голмс. Чотири справи;Українська;Святослав Михаць;;;BAIKY;2019;978-966-97943-1-4;Комікси
Manuro;Полонянка;Українська;Святослав Михаць;;;BAIKY;2019;978-966-97943-0-7;Комікси
Ростислав Бучко;100 казок Мами Гуски;Українська;Ростислав Бучко;;100 Mother Goose Nursery Rhymes;Крокус;2019;978-966-97919-7-9;Вірші для дітей
Кристина Б’ерк;Ліннея в саду художника;Українська;;;Linnaeus in the artist's garden;Крокус;2019;978-966-97919-4-8;Дитяча проза
Оскар Бреніф'є;Що таке взаємини?;Українська;Марія Абрамова;;;Дух і Літера;2019;978-966-97915-4-2;Нон-фікшн для дітей
Аріана Гарвіч;Здохни, коханий;Українська;Анна Марховська;;Mátate, amor;Компáс;2023;978-966-97913-6-8;Сучасна світова проза
Ектор Абад Фасіолінсе;Ми забуття, яке настане;Українська;Анна Марховська;;El olvido que seremos;Компáс;2021;978-966-97913-1-3;Сучасна світова проза
Жуакін Марія Машаду де Ассіс;Дон Кажмурру;Українська;Олексій Шендрик;;Dom Casmurro;Компáс;2019;978-966-97913-0-6;Сучасна світова проза
Рус Лаґеркранц;Моє щасливе життя;Українська;Галина Кирпа;;My happy life;Крокус;2020;978-966-97912-9-0;Дитяча проза
Оксана Лущевська;Найкращі дні року;Українська;;;The best days of the year;Крокус;2019;978-966-97912-6-9;Вірші для дітей
Валя Вздульська;Я - Кіліманджаро;Українська;;;I am Kilimanjaro;Крокус;2019;978-966-97912-5-2;Дитяча проза
Валя Вздульська;Велике перевтілення;Українська;;;The Great Reincarnation;Крокус;2019;978-966-97912-0-7;Література для навчання та розвитку
Саймон Спаррієр;Сила темного кристалу. Книга 3;Українська;Денис Скорбатюк;;the power of dark crystal-3;Мольфар Комікс;2021;978-966-97908-9-7;Комікси
Алекс Росс;Дива;Українська;;;A miracle;Мольфар Комікс;2023;978-966-97908-8-0;Комікси
Метт Фрекшн;Непереможна Залізна Людина. Том 2, Найбільш Розшукуваний Злочинець;Українська;;;Invincible Iron Man Volume 2, Most Wanted;Мольфар Комікс;2021;978-966-97908-7-3;Комікси
Саймон Спаррієр;Сила темного кристалу. Книга 2;Українська;Денис Скорбатюк;;;Мольфар Комікс;2020;978-966-97908-6-6;Комікси
Саймон Спаррієр;Сила темного кристалу. Книга 1;Українська;Денис Скорбатюк;;the power of dark crystal;Мольфар Комікс;2019;978-966-97908-5-9;Комікси
Метт Фрекшн;Непереможна Залізна Людина. Том 1. П’ять кошмарів;Українська;Алла Слісаренко;;Invincible Iron Man Volume 1. Five Nightmares;Мольфар Комікс;2022;978-966-97908-3-5;Комікси
Тодд Макфарлейн;Спаун. Книга 1;Українська;;;Spawn Book 1;Мольфар Комікс;2020;978-966-97908-1-1;Комікси
Сергій Жадан;Постійне місце проживання;Українська;;;;IST Publishing;2020;978-966-97906-8-2;Сучасна українська поезія
Світлана Лібет;YOUR ART;Українська;;;;IST Publishing;2020;978-966-97906-7-5;Мистецтво, мода та фотографія
Гел Фостер;Повернення реального;Українська;;;;IST Publishing;2018;978-966-97906-2-0;Мистецтво, мода та фотографія
Ганс Ульрих Ґумбрехт;Розладнаний час;Українська;Іван Іващенко;;;IST Publishing;2019;978-966-97906-1-3;Мистецтво, мода та фотографія
Лоррейн Кенді;Мам, ну ти нормальна?;Українська;Ігор Астапенко;;‘Mum, What’s Wrong with You?’: 101 Things Only Mothers of Teenage Girls Know;Snowdrop;2022;978-966-97901-9-4;Книги для батьків
Браян Фаґан;Чим ми займалися в ліжку;Українська;Олена Замойська;;What We Did in Bed: A Horizontal History;Snowdrop;2020;978-966-97901-7-0;Світова історія
Ольга Фреймут;Немовля;Українська;;;;Snowdrop;2020;978-966-97901-6-3;Здоров'я та медицина
Наталія Хібеба;Бойківське весілля;Українська;;;;Snowdrop;2019;978-966-97901-5-6;Мистецтво, мода та фотографія
Аґата Крісті;Розлука навесні;Українська;Ігор Астапенко;;;Snowdrop;2019;978-966-97901-2-5;Класична світова проза
Аґата Крісті;Донька є донька;Українська;Євгенія Кононенко;;A Daughter's a Daughter;Snowdrop;2019;978-966-97901-1-8;Класична світова проза
Ольга Фреймут;Маринка Торбинка. Як замовляти братиків;Українська;;;;Snowdrop;2019;978-966-97901-0-1;Книги для найменших
Кріс Ворнер;ХИЖАК. МИСЛИВЦІ. ПОВНЕ ВИДАННЯ;Українська;Анастасія Матвієнко;;;Mimir Media;2020;978-966-97899-8-3;Комікси
Левелін;5 ЗЕМЕЛЬ. ТОМ 1;Українська;Людмила Штефанеса;;;Northern Lights;2021;978-966-97899-7-6;Комікси
Деніел Вей;Веном. Том 3. Злиття;Українська;Олександр Романюк;;;Mimir Media;2021;978-966-97899-6-9;Комікси
Воррен Елліс;Абсолютна Залізна Людина. Броньовані Війни;Українська;;;;Mimir Media;2020;978-966-97899-5-2;Комікси
Джо Гілл;КЛЮЧІ ЛОКІВ. ТОМ 1. ЛАСКАВО ПРОСИМО ДО ЛАВКРАФТА;Українська;Олександр Романюк;;;Mimir Media;2020;978-966-97899-4-5;Пригодницька література
Карл Поттс;Що якби... Пітер Паркер став Карателем?;Українська;Еван Вольф;;;Mimir Media;2019;978-966-97899-1-4;Комікси
Катерина Завертайло;Мурахи лізуть на дерево;Українська;;;Ants climb a tree;Сафран;2020;978-966-97883-6-8;Їжа та напої
;Піднебесні пісні. Поетичні переклади Ярослави Шекери;Українська;Ярослава Шекера;;;Сафран;2020;978-966-97883-5-1;Світова поезія
Надія Кірносова;Пекін VS Бейдзін. Проєкт української практичної транскрипції китайської мови.;Українська;;;;Сафран;2023;978-966-97883-4-4;Мова та словники
Мірослав Пошта;Мандрівки Гімалаями;Українська;Тетяна Савченко;;;Сафран;2020;978-966-97883-3-7;Казки
Май Дзя;Дешифрувати;Українська;Надія Кірносова;;Decrypt;Сафран;2019;978-966-97883-2-0;Сучасна світова проза
